,qiita_sample_name,box_id,cage_id,collection_timepoint,collection_timestamp,date_colonized,diet,elevation,elevation_units,empo_1,empo_2,empo_3,env_biome,env_feature,env_material,env_package,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_product,host_body_site,host_common_name,host_scientific_name,host_subject_id,host_taxid,host_weight,host_weight_units,iacuc_institute,iacuc_protocol_id,isolate_number,latitude,latitude_units,life_stage,longitude,longitude_units,mouse_dob,mouse_id,mouse_strain,qiita_study_id,sample_type,scientific_name,sex,taxon_id,tube_id,mouse,dam,sire,date_collected,bacteria_strain,extraction_method,extraction_kit,run,plate,observed_features
23LL_Day3_3,12986.23LL.Day3.3,,23.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,23LL,10090.0,not provided,g,UCSD,S16285,3,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17,23LL,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,23LL_Day3_3,23LL,A1,A,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4621
23LL_Day3_4,12986.23LL.Day3.4,,23.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,23LL,10090.0,not provided,g,UCSD,S16285,4,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17,23LL,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,23LL_Day3_4,23LL,A1,A,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4622
23LL_Day3_5,12986.23LL.Day3.5,,23.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,23LL,10090.0,not provided,g,UCSD,S16285,5,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17,23LL,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,23LL_Day3_5,23LL,A1,A,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4836
23LL_Day3_7,12986.23LL.Day3.7,,23.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,23LL,10090.0,not provided,g,UCSD,S16285,7,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17,23LL,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,23LL_Day3_7,23LL,A1,A,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4625
23LL_Day3_9,12986.23LL.Day3.9,,23.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,23LL,10090.0,not provided,g,UCSD,S16285,9,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/2/17,23LL,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,23LL_Day3_9,23LL,A1,A,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4624
25N_Day3_1,12986.25N.Day3.1,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,1,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_1,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4623
25N_Day3_11,12986.25N.Day3.11,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,11,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_11,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4622
25N_Day3_12,12986.25N.Day3.12,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,12,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_12,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4621
25N_Day3_13,12986.25N.Day3.13,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,13,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_13,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,4660
25N_Day3_14,12986.25N.Day3.14,,25.0,Day3,7/15/17 10:00,7/12/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,25N,10090.0,not provided,g,UCSD,S16285,14,32.842,Decimal degrees,adult,-117.258,Decimal degrees,5/4/17,25N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,25N_Day3_14,25N,A2,B,7/15/17,AZ20,magnetic bead,Thermo CORE,2.0,1.0,5080
