,qiita_sample_name,box_id,cage_id,collection_timepoint,collection_timestamp,date_colonized,diet,elevation,elevation_units,empo_1,empo_2,empo_3,env_biome,env_feature,env_material,env_package,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_product,host_body_site,host_common_name,host_scientific_name,host_subject_id,host_taxid,host_weight,host_weight_units,iacuc_institute,iacuc_protocol_id,isolate_number,latitude,latitude_units,life_stage,longitude,longitude_units,mouse_dob,mouse_id,mouse_strain,qiita_study_id,sample_type,scientific_name,sex,taxon_id,tube_id,mouse,dam,sire,date_collected,bacteria_strain,extraction_method,extraction_kit,run,plate,observed_features
41N_Day7_14,12986.41N.Day7.14,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,14,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_14,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4645
41N_Day7_15,12986.41N.Day7.15,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,15,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_15,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4646
41N_Day7_16,12986.41N.Day7.16,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,16,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_16,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4645
41N_Day7_17,12986.41N.Day7.17,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,17,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_17,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4874
41N_Day7_18,12986.41N.Day7.18,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,18,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_18,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4756
41N_Day7_19,12986.41N.Day7.19,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,19,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_19,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4698
41N_Day7_2,12986.41N.Day7.2,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,2,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_2,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4645
41N_Day7_20,12986.41N.Day7.20,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,20,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_20,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4646
41N_Day7_21,12986.41N.Day7.21,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,21,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_21,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4904
41N_Day7_22,12986.41N.Day7.22,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,22,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_22,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4699
41N_Day7_23,12986.41N.Day7.23,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,23,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_23,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4947
41N_Day7_24,12986.41N.Day7.24,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,24,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_24,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4703
41N_Day7_3,12986.41N.Day7.3,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,3,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_3,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,5030
41N_Day7_4,12986.41N.Day7.4,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,4,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_4,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4652
41N_Day7_5,12986.41N.Day7.5,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,5,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_5,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,5021
41N_Day7_6,12986.41N.Day7.6,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,6,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_6,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,5108
41N_Day7_7,12986.41N.Day7.7,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,7,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_7,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4701
41N_Day7_8,12986.41N.Day7.8,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,8,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_8,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4921
41N_Day7_9,12986.41N.Day7.9,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41N,10090.0,not provided,g,UCSD,S16285,9,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41N,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41N_Day7_9,41N,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,5144
41R_Day7_1,12986.41R.Day7.1,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,1,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_1,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4646
41R_Day7_10,12986.41R.Day7.10,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,10,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_10,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4655
41R_Day7_11,12986.41R.Day7.11,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,11,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_11,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4638
41R_Day7_12,12986.41R.Day7.12,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,12,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_12,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4871
41R_Day7_13,12986.41R.Day7.13,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,13,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_13,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4646
41R_Day7_14,12986.41R.Day7.14,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,14,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_14,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4628
41R_Day7_15,12986.41R.Day7.15,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,15,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_15,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4850
41R_Day7_16,12986.41R.Day7.16,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,16,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_16,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4645
41R_Day7_17,12986.41R.Day7.17,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,17,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_17,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4706
41R_Day7_18,12986.41R.Day7.18,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,18,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_18,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4645
41R_Day7_19,12986.41R.Day7.19,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,19,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_19,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4646
41R_Day7_2,12986.41R.Day7.2,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,2,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_2,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4640
41R_Day7_20,12986.41R.Day7.20,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,20,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_20,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4645
41R_Day7_21,12986.41R.Day7.21,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,21,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_21,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4639
41R_Day7_22,12986.41R.Day7.22,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,22,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_22,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4658
41R_Day7_23,12986.41R.Day7.23,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,23,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_23,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4640
41R_Day7_24,12986.41R.Day7.24,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,24,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_24,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4639
41R_Day7_3,12986.41R.Day7.3,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,3,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_3,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4795
41R_Day7_4,12986.41R.Day7.4,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,4,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_4,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4676
41R_Day7_5,12986.41R.Day7.5,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,5,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_5,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4845
41R_Day7_6,12986.41R.Day7.6,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,6,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_6,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4788
41R_Day7_7,12986.41R.Day7.7,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,7,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_7,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4646
41R_Day7_8,12986.41R.Day7.8,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,8,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_8,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4640
41R_Day7_9,12986.41R.Day7.9,,41.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,41R,10090.0,not provided,g,UCSD,S16285,9,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,41R,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,male,410661.0,41R_Day7_9,41R,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,4.0,4669
42L_Day7_1,12986.42L.Day7.1,,42.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,42L,10090.0,not provided,g,UCSD,S16285,1,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,42L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,42L_Day7_1,42L,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,5.0,4640
42L_Day7_10,12986.42L.Day7.10,,42.0,Day7,9/20/17 10:00,9/13/17,RC,193.0,meters,Host-associated,Animal,Animal distal gut,urban biome,animal-associated habitat,feces,host-associated,USA:CA: San Diego,11.0,weeks,UBERON:feces,UBERON:feces,UBERON:feces,mouse,Mus musculus,42L,10090.0,not provided,g,UCSD,S16285,10,32.842,Decimal degrees,adult,-117.258,Decimal degrees,7/6/17,42L,C57Bl/6,12986.0,fecal culture,mouse gut metagenome,female,410661.0,42L_Day7_10,42L,A1,A,9/20/17,AZ51,magnetic bead,Thermo CORE,2.0,5.0,4646
