sample_name	box_id	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	elevation	elevation_units	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	iacuc_institute	iacuc_protocol_id	isolate_number	latitude	latitude_units	life_stage	longitude	longitude_units	mouse_dob	mouse_id	mouse_strain	qiita_study_id	sample_type	scientific_name	sex	taxon_id	tube_id	zarrinparlab_quant_ng_ul	mouse	dam	sire	date_collected	bacteria_strain	extraction_method	extraction_kit	run	plate
12986.23B.Month3.13	3	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	13	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-13_Month3	19.5	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.14	3	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	14	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-14_Month3	28.6	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.15	3	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	15	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-15_Month3	21	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.16	3	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	16	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-16_Month3	20.5	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.17	3	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	17	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-17_Month3	27.7	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.18	3	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	18	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-18_Month3	18.1	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.19	3	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	19	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-19_Month3	22	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.2	1	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	2	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-2_Month3	42.3	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.20	3	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	20	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-20_Month3	19.6	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.21	3	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	21	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-21_Month3	19.7	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.22	4	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	22	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-22_Month3	19.9	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.23	4	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	23	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-23_Month3	9.2	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.24	4	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	24	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-24_Month3	15.2	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
12986.23B.Month3.3	1	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	193	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090	not provided	g	UCSD	S16285	3	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986	fecal culture	mouse gut metagenome	male	410661	23B-3_Month3	48.4	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1	
