	Axis1_17.97	Axis2_9.11	Axis3_4.54	Axis4_3.30	Axis5_2.87
41B_Month3_22	-0.009575138	0.012066329	-0.003962595	0.002069211	0.00428915
41B_Month3_23	0.007974948	-0.002848268	0.001950024	-0.001771943	0.002957383
41B_Month3_24	0.024225894	-0.003502695	-0.002403137	-0.002090064	-0.010741099
41B_Month3_3	0.007262262	-0.008451021	-0.005613431	-0.0025128	0.007288162
41B_Month3_4	0.007974948	-0.002848268	0.001950024	-0.001771943	0.002957383
41B_Month3_5	0.007809752	-0.004828698	0.001595961	-0.000568096	0.000798564
41B_Month3_6	0.007809752	-0.004828698	0.001595961	-0.000568096	0.000798564
41B_Month3_7	0.012903964	-0.004654016	0.002171138	0.000648166	-0.001276636
41B_Month3_8	0.007809752	-0.004828698	0.001595961	-0.000568096	0.000798564
41B_Month3_9	0.064655872	-0.027324195	0.016201377	-0.004217098	-0.016773839
41B_Month6_10	0.008009105	-0.004816909	0.001389039	-0.000652864	0.000709002
41B_Month6_11	0.012230475	-0.002803005	-0.012363821	-0.000176085	-0.002495722
41B_Month6_12	0.019231935	-0.017869732	-0.004737296	-0.00470556	0.003915733
41B_Month6_13	0.018735836	-0.005463842	0.002235903	-0.00124332	0.007995708
41B_Month6_14	0.0104829	-0.003506791	0.000807209	-0.000189608	0.000628679
41B_Month6_15	0.006716861	-0.002938491	-0.000256185	0.00013962	-0.003717764
41B_Month6_16	0.019968296	-0.00329887	0.001224464	0.002405563	0.002752905
41B_Month6_17	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41B_Month6_18	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41B_Month6_19	0.006264162	-0.004263324	0.000803049	6.56E-05	-0.006176086
41B_Month6_1	0.019480998	-0.005720048	-0.0036428	-0.014726288	0.002945872
41B_Month6_20	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
41B_Month6_21	0.008009105	-0.004816909	0.001389039	-0.000652864	0.000709002
41B_Month6_22	0.006264162	-0.004263324	0.000803049	6.56E-05	-0.006176086
41B_Month6_23	0.008144732	-0.004642271	0.001305738	-0.000673945	0.000774077
41B_Month6_24	0.023712013	0.010665596	-0.015667846	0.003210423	0.015128556
41B_Month6_2	0.016049177	-0.004121523	-0.000633011	0.001020298	-0.004964166
41B_Month6_3	0.02936798	-0.006677232	0.003197982	0.001656736	0.009726853
41B_Month6_4	0.018081026	-0.000216664	-0.000680122	-0.001596761	0.000861624
41B_Month6_5	0.006264162	-0.004263324	0.000803049	6.56E-05	-0.006176086
41B_Month6_6	0.008015269	-0.004694614	0.001329493	-0.000692299	0.00073786
41B_Month6_7	0.007879587	-0.0048694	0.001412836	-0.000671261	0.000672729
