	Axis1_7.01	Axis2_2.88	Axis3_2.11	Axis4_1.76	Axis5_1.46	Axis6_1.39	Axis7_1.31	Axis8_1.27	Axis9_1.25	Axis10_1.23
23B_Day7_6	0.001124517	0.00081171	0.000788206	0.000577955	2.41E-06	-0.000100414	-0.000387794	0.000476451	-0.000325014	8.14E-05
23B_Day7_7	-0.004527099	-0.00641212	0.004628954	0.002638222	-0.002281874	-0.003623059	-0.003292397	-0.002770258	0.001430005	-0.000411532
23B_Day7_8	0.002037293	0.001351398	0.000803806	0.000659317	0.000848119	0.00035961	-0.00020333	0.000164062	-0.000511601	-4.24E-05
23B_Day7_9	0.000385315	0.000201073	0.002116365	0.001113804	0.000649616	0.000283718	0.000615751	0.000897177	-0.000360874	-0.00010363
23B_Month3_10	0.018647619	0.027597426	0.001160474	-0.006841837	0.012123254	0.017141961	0.005213188	-0.003426614	0.010311912	-0.010627381
23B_Month3_11	0.026110147	0.026788175	0.003870608	0.002753308	0.004398076	-0.000713085	-0.01369785	-0.002526767	-0.009273023	0.005810868
23B_Month3_12	-0.005370792	-0.010182518	0.00565695	-0.002263521	-0.018373779	0.021880242	0.016746317	-0.015977433	0.001734189	-0.001004828
23B_Month3_13	-0.046539447	0.009495851	-0.016251054	-0.005999742	-0.003053981	-0.00264005	0.001860911	-0.000702768	-0.000761222	-2.46E-05
23B_Month3_14	0.0012589	0.000466712	0.001473715	0.001529806	0.000734021	-0.000205799	-0.000334127	0.00058772	-0.000689957	6.10E-05
23B_Month3_15	0.003292743	-0.017820738	-0.011312466	0.002655165	0.011654482	0.00550349	0.001723576	-0.001768142	-0.00334223	0.002947844
23B_Month3_16	0.001567642	0.000412675	0.001544459	0.001455346	0.000716902	4.29E-05	-0.000430481	0.000496677	-0.000905054	9.66E-06
23B_Month3_17	0.001154025	0.000358326	0.001214326	0.001287406	0.000579211	-0.000291864	-0.000358326	0.000905796	-0.000700569	0.000239632
23B_Month3_18	0.036756679	0.001440232	-0.021821224	-0.022419285	-0.023375836	-0.013567288	-0.014830981	-0.023214244	-0.037658457	-0.025473295
23B_Month3_19	0.010915628	-0.044292675	-0.032245176	0.012077611	-0.01406781	-0.032461556	0.013206846	0.007311214	0.010028469	-0.002849959
23B_Month3_1	0.0012923	0.000275644	0.001402381	0.001338563	0.000567595	-0.000217629	-0.00050534	0.000808464	-0.000399226	-1.56E-05
23B_Month3_20	0.029603032	0.014208834	0.004116054	-0.001994161	0.015045774	-0.010541404	-0.019357248	0.00638594	0.013321587	-0.007660102
23B_Month3_21	0.001348145	0.000593745	0.001041066	0.001181026	0.001077493	0.000312596	-0.000331099	0.000279078	-0.00077139	-4.89E-05
23B_Month3_22	-0.003759658	-0.015811043	0.01590815	-0.018283597	-0.003484149	-0.007705624	-0.005030873	-0.003562978	0.015011091	-0.004514317
23B_Month3_23	-0.00777119	-0.009470204	0.008677718	0.008057835	0.000757998	0.00150679	0.001663759	-0.004741364	0.00047408	-0.005364116
23B_Month3_24	0.021049964	-0.015762656	0.006524516	0.000296185	0.001635784	0.028192953	-0.024528402	0.003469101	-0.016292668	0.022598824
23B_Month3_2	0.00120337	0.00043757	0.001353363	0.001349885	0.000671941	-0.000182244	-0.000248528	0.000881964	-0.000645793	0.000351237
23B_Month3_3	0.00120337	0.00043757	0.001353363	0.001349885	0.000671941	-0.000182244	-0.000248528	0.000881964	-0.000645793	0.000351237
23B_Month3_4	0.001154025	0.000358326	0.001214326	0.001287406	0.000579211	-0.000291864	-0.000358326	0.000905796	-0.000700569	0.000239632
23B_Month3_5	0.00120337	0.00043757	0.001353363	0.001349885	0.000671941	-0.000182244	-0.000248528	0.000881964	-0.000645793	0.000351237
23B_Month3_6	0.00120337	0.00043757	0.001353363	0.001349885	0.000671941	-0.000182244	-0.000248528	0.000881964	-0.000645793	0.000351237
23B_Month3_7	-0.006092323	-0.002650385	0.005772664	0.006349502	0.002785843	-0.000669432	0.000642009	0.002247488	-0.000210561	0.000796545
23B_Month3_8	0.008850025	-0.015400945	-0.003809282	0.007061689	-0.007385145	-0.001019617	-0.003661559	0.034699905	-0.015700374	0.010186832
23B_Month3_9	0.001795018	0.001036954	0.000839168	0.000700955	0.000261155	-0.000350724	-0.000339534	0.000809302	-0.000494484	0.000131829
23B_Month6_10	0.000939795	-4.93E-05	0.001799111	0.001445944	0.000430382	-0.00021434	-0.000118174	0.000884282	-0.000811734	0.000354676
23B_Month6_11	0.001471026	0.000617327	0.001030268	0.001113274	0.00076233	-2.79E-05	-0.000648091	0.000391912	-0.000955087	0.00052359
23B_Month6_12	0.00083647	0.000280332	0.001535548	0.001399544	0.000570935	-0.000339722	-0.00049917	0.000925425	-0.000767415	0.000690852
23B_Month6_13	0.001072216	0.000358084	0.001238774	0.00129654	0.000578501	-0.000268647	-0.000534302	0.00081678	-0.00076503	0.000640688
23B_Month6_14	0.001348145	0.000593745	0.001041066	0.001181026	0.001077493	0.000312596	-0.000331099	0.000279078	-0.00077139	-4.89E-05
23B_Month6_15	0.00151973	0.000294773	0.00156431	0.001445005	0.00072993	-0.000328422	-0.000372011	0.000846667	-0.000417107	0.000189979
23B_Month6_16	-0.048563202	0.009924806	-0.017090907	-0.006896872	-0.003092369	-0.002820944	0.002725693	0.000319714	-0.000528833	-0.000281398
23B_Month6_17	0.000662049	0.000457411	0.001371476	0.001634394	0.001086898	0.000205667	-7.66E-05	0.000605839	-0.000789602	0.000286818
23B_Month6_18	0.00124629	7.41E-05	0.001575404	0.001405324	0.000542512	-2.21E-05	-0.00018201	0.000811376	-0.00078856	0.000276997
23B_Month6_19	0.000527308	6.51E-05	0.001351399	0.001468468	0.001095936	0.000725733	-0.000339171	-7.64E-05	-0.001034745	0.000400872
23B_Month6_1	-0.003776391	-0.000526645	0.003379661	0.00264479	0.001992809	0.001104078	0.000633262	2.14E-05	0.000500811	-0.002253401
23B_Month6_20	0.00072637	0.000498875	0.001101663	0.001422031	0.000471171	6.82E-06	-0.000788969	0.000884764	-0.00064827	0.000362211
23B_Month6_21	0.001699326	0.000700004	0.000881571	0.001057697	0.000766781	-5.56E-05	-0.000464994	0.000461874	-0.000903918	0.000120355
23B_Month6_22	0.002948744	-0.001191446	-0.000501804	0.001097703	0.000155344	0.000833868	-0.001173683	0.002018409	-0.000934339	0.001078469
23B_Month6_23	0.001699326	0.000700004	0.000881571	0.001057697	0.000766781	-5.56E-05	-0.000464994	0.000461874	-0.000903918	0.000120355
23B_Month6_24	-0.001979055	-0.010101899	-0.005729275	0.003765739	0.002595232	0.005707048	-0.002790324	0.004285237	0.001357026	-0.000312476
23B_Month6_2	-0.003794854	-0.000551945	0.003473908	0.002665908	0.001954164	0.0011478	0.000624138	-0.000220654	0.000476306	-0.002099515
23B_Month6_3	0.000976279	0.000418792	0.001192102	0.001243863	0.000509735	-7.07E-05	-0.000381512	0.000843318	-0.000629022	0.000145466
23B_Month6_4	0.00120337	0.00043757	0.001353363	0.001349885	0.000671941	-0.000182244	-0.000248528	0.000881964	-0.000645793	0.000351237
23B_Month6_5	0.001748411	0.00077893	0.001020376	0.001120252	0.000859223	5.39E-05	-0.000355301	0.000438211	-0.00084933	0.000231807
23B_Month6_6	0.001122321	0.000437123	0.001379021	0.001359344	0.000671618	-0.000158659	-0.000424509	0.000792963	-0.000710488	0.000752307
23B_Month6_7	0.0012923	0.000275644	0.001402381	0.001338563	0.000567595	-0.000217629	-0.00050534	0.000808464	-0.000399226	-1.56E-05
23B_Month6_8	-0.054619841	0.010411417	-0.0175936	-0.006541265	-0.002426917	-0.002312047	0.003678316	-0.000262317	0.000587037	-0.00202859
23B_Month6_9	0.000997757	0.000152591	0.001489158	0.001584326	0.000505164	5.60E-05	-0.000588715	0.000852679	-0.000808924	0.000493185
23L_Day7_10	0.001727275	0.0008528	0.00107422	0.000917726	0.000966924	0.000654571	-7.33E-05	-1.97E-05	-0.000579676	-6.19E-06
23L_Day7_11	0.002269285	0.001313614	0.001197047	0.00069416	0.000878741	0.000157579	-0.000141123	0.000125622	-0.000665108	-0.000119414
23L_Day7_12	0.001310236	0.000602475	0.001100576	0.000768267	0.000700632	0.000228678	-0.000135651	0.000410908	-0.0002973	-5.16E-05
23L_Day7_13	-0.050118998	0.010780203	-0.016952961	-0.007809491	-0.002423994	-0.002279268	0.002208207	-0.001127321	0.000890057	-0.000279922
23L_Day7_14	0.001580103	0.001052327	0.001056791	0.000940986	0.000954164	0.000698169	-0.000202858	-1.57E-05	-0.00073984	5.92E-05
23L_Day7_1	0.000886314	0.001344278	0.001052167	0.001293084	0.000311088	0.000838095	-0.001053422	0.000282573	-0.000329424	-0.000406987
