Strain,Isolate,SNPs,Insertions,Deletions,MNPs,Complex,Synonymous_mutations,Non_Synonymous_mutations,Total_mutations,Colonies,Month,Days,Mutation_rate,Synonymous_mutation_rate,Non_synonymous_mutation_rate,Sex
AZ20,29LL_Month6,32,0,4,0,0,5,12,36,4,Month6,188,3.45E-06,4.79E-07,1.15E-06,male
AZ20,29N_Day7,38,0,0,0,0,9,0,38,8,Day7,7,4.89E-05,1.16E-05,0,male
AZ20,29N_Month3,1,0,1,0,0,0,1,2,1,Month3,97,1.49E-06,0,7.43E-07,male
AZ20,29R_Day7,37,0,0,0,0,6,1,37,12,Day7,7,3.17E-05,5.15E-06,8.58E-07,male
AZ20,29R_Month3,129,0,0,0,0,35,3,129,21,Month3,97,4.56E-06,1.24E-06,1.06E-07,male
AZ20,30N_Day7,91,0,0,0,0,16,2,91,23,Day7,7,4.07E-05,7.16E-06,8.95E-07,female
AZ51,41B_Day7,9,0,0,0,0,0,9,9,24,Day7,7,3.86E-06,0,3.86E-06,male
AZ51,41B_Month1,0,0,0,0,0,0,0,0,24,Month1,34,0,0,0,male
AZ51,41B_Month3,23,1,5,0,0,1,21,29,23,Month3,90,1.01E-06,3.48E-08,7.31E-07,male
AZ51,41B_Month6,28,0,1,0,0,0,26,29,24,Month6,181,4.81E-07,0,4.31E-07,male
AZ51,41L_Day3,2,0,2,0,0,2,1,4,24,Day3,3,4.00E-06,2.00E-06,1.00E-06,male
AZ51,41L_Day7,3,0,0,0,0,3,0,3,23,Day7,7,1.34E-06,1.34E-06,0,male
AZ51,41L_Month1,37,21,11,0,0,6,39,69,48,Month1,34,3.05E-06,2.65E-07,1.72E-06,male
AZ51,41L_Month10,32,12,10,0,0,6,26,54,24,Month10,307,5.28E-07,5.87E-08,2.54E-07,male
AZ51,41L_Month3,26,15,3,0,0,2,23,44,22,Month3,90,1.60E-06,7.28E-08,8.37E-07,male
AZ51,41L_Month6,42,9,2,0,1,1,28,54,24,Month6,181,8.96E-07,1.66E-08,4.65E-07,male
AZ51,41LL_Day7,1,0,0,0,0,1,0,1,24,Day7,7,4.29E-07,4.29E-07,0,male
AZ51,41LL_Month3,8,0,1,0,0,3,3,9,23,Month3,90,3.13E-07,1.04E-07,1.04E-07,male
AZ51,41LL_Month6,29,1,0,0,0,7,9,30,24,Month6,181,4.98E-07,1.16E-07,1.49E-07,male
AZ51,41N_Day7,2,0,0,0,0,0,1,2,24,Day7,7,8.58E-07,0,4.29E-07,male
AZ51,41N_Month1,5,0,0,0,0,0,5,5,24,Month1,34,4.42E-07,0,4.42E-07,male
AZ51,41N_Month3,1,1,0,0,1,0,2,3,24,Month3,90,1.00E-07,0,6.67E-08,male
AZ51,41N_Month6,47,0,3,1,0,6,20,51,24,Month6,181,8.46E-07,9.95E-08,3.32E-07,male
AZ51,41R_Day3,1,0,2,0,0,0,3,3,23,Day3,3,3.13E-06,0,3.13E-06,male
AZ51,41R_Day7,1,0,0,0,0,1,0,1,24,Day7,7,4.29E-07,4.29E-07,0,male
AZ51,41R_Month1,42,0,0,0,0,4,29,42,48,Month1,34,1.85E-06,1.77E-07,1.28E-06,male
AZ51,41R_Month10,30,0,0,0,0,3,26,30,24,Month10,307,2.93E-07,2.93E-08,2.54E-07,male
AZ51,41R_Month3,14,0,1,0,0,0,9,15,24,Month3,90,5.00E-07,0,3.00E-07,male
AZ51,41R_Month6,64,1,0,0,0,10,33,65,24,Month6,181,1.08E-06,1.66E-07,5.47E-07,male
AZ51,42L_Day7,3,0,0,0,0,3,0,3,24,Day7,7,1.29E-06,1.29E-06,0,female
AZ51,42L_Month3,2,0,0,0,0,0,2,2,20,Month3,90,8.01E-08,0,8.01E-08,female
AZ51,42L_Month6,26,1,11,0,0,3,30,38,24,Month6,181,6.30E-07,4.98E-08,4.98E-07,female
AZ51,42N_Day7,16,0,1,0,0,0,1,17,24,Day7,7,7.29E-06,0,4.29E-07,female
AZ51,42N_Month3,24,0,0,0,0,1,23,24,23,Month3,90,8.36E-07,3.48E-08,8.01E-07,female
