feature-id	short-id	qiita_sample_name	box_id	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	host_age	host_subject_id	isolate_number	mouse_dob	mouse_id	sex	mouse	dam	sire	date_collected	bacteria_strain	extraction_method	extraction_kit	run	host_age_units	tube_id	plate
23B_Month3_10_S42_AZ20_mut	23B_Month3_10	12986.23B.Month3.10	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	10	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_11_S4_AZ20_mut	23B_Month3_11	12986.23B.Month3.11	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	11	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_12_S44_AZ20_mut	23B_Month3_12	12986.23B.Month3.12	1.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	12	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_13_S177_AZ20_mut	23B_Month3_13	12986.23B.Month3.13	3.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	13	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_14_S178_AZ20_mut	23B_Month3_14	12986.23B.Month3.14	3.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	14	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_15_S179_AZ20_mut	23B_Month3_15	12986.23B.Month3.15	3.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	15	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_16_S18_AZ20_mut	23B_Month3_16	12986.23B.Month3.16	3.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	16	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_17_S18_AZ20_mut	23B_Month3_17	12986.23B.Month3.17	3.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	17	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_18_S182_AZ20_mut	23B_Month3_18	12986.23B.Month3.18	3.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	18	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
23B_Month3_19_S18_AZ20_mut	23B_Month3_19	12986.23B.Month3.19	3.0	23	Month3	10/17/17 10:00	7/12/17 0:00	RC	21.0	23B	19	5/2/17 0:00	23B	male	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0			
