feature-id	short-id	qiita_sample_name	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	host_age	host_age_units	host_subject_id	isolate_number	mouse_dob	mouse_id	sex	tube_id	mouse	dam	sire	date_collected	plate
41N_Month3_14_S1434_AZ51_mut	41N_Month3_14	12986.41N.Month3.14	41	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	41N	14	7/6/17	41N	male	41N_Month3_14	41N	A1	A	12/12/17	10
41R_Month6_17_S424_AZ51_mut	41R_Month6_17	12986.41R.Month6.17	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41R	17	7/6/17	41R	male	41R_Month6_17	41R	A1	A	3/13/18	16
46N_Day3_2_S399_AZ51_mut	46N_Day3_2	12986.46N.Day3.2	46	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	46N	2	7/3/17	46N	female	46N_Day3_2	46N	B1	B	9/16/17	24
46N_Month6_7_S721_AZ51_mut	46N_Month6_7	12986.46N.Month6.7	46	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	46N	7	7/3/17	46N	female	46N_Month6_7	46N	B1	B	3/13/18	21
41L_Day7_8_S347_AZ51_mut	41L_Day7_8	12986.41L.Day7.8	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41L	8	7/6/17	41L	male	41L_Day7_8	41L	A1	A	9/20/17	4
41LL_Month6_19_S438_AZ51_mut	41LL_Month6_19	12986.41LL.Month6.19	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41LL	19	7/6/17	41LL	male	41LL_Month6_19	41LL	A1	A	3/13/18	16
43R_Month3_24_S94_AZ51_mut	43R_Month3_24	12986.43R.Month3.24	43	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	43R	24	7/3/17	43R	male	43R_Month3_24	43R	B1	B	12/12/17	12
45L_Day7_8_S1387_AZ51_mut	45L_Day7_8	12986.45L.Day7.8	45	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	45L	8	7/3/17	45L	female	45L_Day7_8	45L	B1	B	9/20/17	8
42L_Month3_2_S15_AZ51_mut	42L_Month3_2	12986.42L.Month3.2	42	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	42L	2	7/6/17	42L	female	42L_Month3_2	42L	A1	A	12/12/17	11
45R_Month6_1_S293_AZ51_mut	45R_Month6_1	12986.45R.Month6.1	45	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	45R	1	7/3/17	45R	female	45R_Month6_1	45R	B1	B	3/13/18	20
41LL_Month6_11_S469_AZ51_mut	41LL_Month6_11	12986.41LL.Month6.11	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41LL	11	7/6/17	41LL	male	41LL_Month6_11	41LL	A1	A	3/13/18	16
41R_Month1_15_S500_AZ51_mut	41R_Month1_15	12986.41R.Month1.15	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41R	15	7/6/17	41R	male	41R_Month1_15	41R	A1	A	10/17/17	25
43B_Day7_22_S176_AZ51_mut	43B_Day7_22	12986.43B.Day7.22	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43B	22	7/3/17	43B	male	43B_Day7_22	43B	B1	B	9/20/17	6
42N_Month6_24_S572_AZ51_mut	42N_Month6_24	12986.42N.Month6.24	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42N	24	7/6/17	42N	female	42N_Month6_24	42N	A1	A	3/13/18	17
41R_Month6_5_S423_AZ51_mut	41R_Month6_5	12986.41R.Month6.5	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41R	5	7/6/17	41R	male	41R_Month6_5	41R	A1	A	3/13/18	16
44R_Month10_24_S670_AZ51_mut	44R_Month10_24	12986.44R.Month10.24	44	Month10	7/17/18 10:00	9/13/17	RC	54	weeks	44R	24	7/3/17	44R	female	44R_Month10_24	44R	A2	A	7/17/18	26
46R_Month3_6_S239_AZ51_mut	46R_Month3_6	12986.46R.Month3.6	46	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	46R	6	7/3/17	46R	female	46R_Month3_6	46R	B1	B	12/12/17	15
41B_Day7_13_S2_AZ51_mut	41B_Day7_13	12986.41B.Day7.13	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41B	13	7/6/17	41B	male	41B_Day7_13	41B	A1	A	9/20/17	5
41L_Month6_16_S412_AZ51_mut	41L_Month6_16	12986.41L.Month6.16	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41L	16	7/6/17	41L	male	41L_Month6_16	41L	A1	A	3/13/18	16
43R_Day7_14_S110_AZ51_mut	43R_Day7_14	12986.43R.Day7.14	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43R	14	7/3/17	43R	male	43R_Day7_14	43R	B1	B	9/20/17	6
46L_Day7_14_S298_AZ51_mut	46L_Day7_14	12986.46L.Day7.14	46	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	46L	14	7/3/17	46L	female	46L_Day7_14	46L	B1	B	9/20/17	9
41N_Month1_19_S1858_AZ51_mut	41N_Month1_19	12986.41N.Month1.19	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41N	19	7/6/17	41N	male	41N_Month1_19	41N	A1	A	10/17/17	23
41L_Month6_12_S475_AZ51_mut	41L_Month6_12	12986.41L.Month6.12	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41L	12	7/6/17	41L	male	41L_Month6_12	41L	A1	A	3/13/18	16
41R_Day3_3_S403_AZ51_mut	41R_Day3_3	12986.41R.Day3.3	41	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	41R	3	7/6/17	41R	male	41R_Day3_3	41R	A1	A	9/16/17	24
41B_Day7_18_S42_AZ51_mut	41B_Day7_18	12986.41B.Day7.18	41	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	41B	18	7/6/17	41B	male	41B_Day7_18	41B	A1	A	9/20/17	5
46R_Month3_12_S287_AZ51_mut	46R_Month3_12	12986.46R.Month3.12	46	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	46R	12	7/3/17	46R	female	46R_Month3_12	46R	B1	B	12/12/17	15
42N_Day7_14_S12_AZ51_mut	42N_Day7_14	12986.42N.Day7.14	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42N	14	7/6/17	42N	female	42N_Day7_14	42N	A1	A	9/20/17	5
