feature-id	short-id	qiita_sample_name	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	host_age	host_age_units	host_subject_id	isolate_number	mouse_dob	mouse_id	sex	tube_id	mouse	dam	sire	date_collected	plate
46N_Day3_10_S463_AZ51_mut	46N_Day3_10	12986.46N.Day3.10	46	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	46N	10	7/3/17	46N	female	46N_Day3_10	46N	B1	B	9/16/17	24
41L_Month6_20_S444_AZ51_mut	41L_Month6_20	12986.41L.Month6.20	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41L	20	7/6/17	41L	male	41L_Month6_20	41L	A1	A	3/13/18	16
45L_Month6_19_S340_AZ51_mut	45L_Month6_19	12986.45L.Month6.19	45	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	45L	19	7/3/17	45L	female	45L_Month6_19	45L	B1	B	3/13/18	20
41R_Month1_2_S491_AZ51_mut	41R_Month1_2	12986.41R.Month1.2	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41R	2	7/6/17	41R	male	41R_Month1_2	41R	A1	A	10/17/17	25
42R_Month6_14_S496_AZ51_mut	42R_Month6_14	12986.42R.Month6.14	42	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	42R	14	7/6/17	42R	female	42R_Month6_14	42R	A1	A	3/13/18	17
45R_Month3_21_S262_AZ51_mut	45R_Month3_21	12986.45R.Month3.21	45	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	45R	21	7/3/17	45R	female	45R_Month3_21	45R	B1	B	12/12/17	15
41L_Month1_15_S498_AZ51_mut	41L_Month1_15	12986.41L.Month1.15	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41L	15	7/6/17	41L	male	41L_Month1_15	41L	A1	A	10/17/17	25
41L_Month10_3_S593_AZ51_mut	41L_Month10_3	12986.41L.Month10.3	41	Month10	7/17/18 10:00	9/13/17	RC	54	weeks	41L	3	7/6/17	41L	male	41L_Month10_3	41L	A1	A	7/17/18	26
41R_Day3_11_S467_AZ51_mut	41R_Day3_11	12986.41R.Day3.11	41	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	41R	11	7/6/17	41R	male	41R_Day3_11	41R	A1	A	9/16/17	24
43L_Day7_24_S188_AZ51_mut	43L_Day7_24	12986.43L.Day7.24	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43L	24	7/3/17	43L	male	43L_Day7_24	43L	B1	B	9/20/17	6
41R_Month1_14_S492_AZ51_mut	41R_Month1_14	12986.41R.Month1.14	41	Month1	10/17/17 10:00	9/13/17	RC	15	weeks	41R	14	7/6/17	41R	male	41R_Month1_14	41R	A1	A	10/17/17	25
43L_Month6_12_S667_AZ51_mut	43L_Month6_12	12986.43L.Month6.12	43	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	43L	12	7/3/17	43L	male	43L_Month6_12	43L	B1	B	3/13/18	18
46R_Month3_11_S279_AZ51_mut	46R_Month3_11	12986.46R.Month3.11	46	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	46R	11	7/3/17	46R	female	46R_Month3_11	46R	B1	B	12/12/17	15
43R_Month6_24_S670_AZ51_mut	43R_Month6_24	12986.43R.Month6.24	43	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	43R	24	7/3/17	43R	male	43R_Month6_24	43R	B1	B	3/13/18	18
41N_Month6_12_S473_AZ51_mut	41N_Month6_12	12986.41N.Month6.12	41	Month6	3/13/18 10:00	9/13/17	RC	36	weeks	41N	12	7/6/17	41N	male	41N_Month6_12	41N	A1	A	3/13/18	16
42N_Day7_19_S52_AZ51_mut	42N_Day7_19	12986.42N.Day7.19	42	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	42N	19	7/6/17	42N	female	42N_Day7_19	42N	A1	A	9/20/17	5
46N_Day3_19_S440_AZ51_mut	46N_Day3_19	12986.46N.Day3.19	46	Day3	9/16/17 10:00	9/13/17	RC	11	weeks	46N	19	7/3/17	46N	female	46N_Day3_19	46N	B1	B	9/16/17	24
43L_Month3_17_S36_AZ51_mut	43L_Month3_17	12986.43L.Month3.17	43	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	43L	17	7/3/17	43L	male	43L_Month3_17	43L	B1	B	12/12/17	12
44R_Month10_17_S614_AZ51_mut	44R_Month10_17	12986.44R.Month10.17	44	Month10	7/17/18 10:00	9/13/17	RC	54	weeks	44R	17	7/3/17	44R	female	44R_Month10_17	44R	A2	A	7/17/18	26
43B_Day7_21_S168_AZ51_mut	43B_Day7_21	12986.43B.Day7.21	43	Day7	9/20/17 10:00	9/13/17	RC	11	weeks	43B	21	7/3/17	43B	male	43B_Day7_21	43B	B1	B	9/20/17	6
43N_Month3_9_S65_AZ51_mut	43N_Month3_9	12986.43N.Month3.9	43	Month3	12/12/17 10:00	9/13/17	RC	23	weeks	43N	9	7/3/17	43N	male	43N_Month3_9	43N	B1	B	12/12/17	12
