	index	PERMANOVA_PseudoF	p_value	unifrac_type	num_samples	num_sequences
0	dkgA_2	7.38618264798257	0.001	unweighted	1205	1205
1	fucK_2	4.448760214486524	0.001	unweighted	1210	1210
2	tauD	3.7159650976279472	0.003	unweighted	1162	1162
3	nth	4.376479327481025	0.001	unweighted	1167	1167
4	clpP_1	6.379194224267369	0.001	unweighted	1211	1211
5	rpsU	2.9605111382738176	0.009	unweighted	1168	1168
6	yohK_1	8.128307459914133	0.001	unweighted	1206	1206
7	fecD_6	6.706233495525729	0.001	unweighted	1205	1205
8	slmA	3.0244242897487723	0.012	unweighted	1167	1167
9	bcp	3.28902388908346	0.009	unweighted	1165	1165
10	ybdO	3.171751592558557	0.007	unweighted	1163	1163
11	fyuA	3.371592669732118	0.003	unweighted	1157	1157
12	rssB	4.984486489680224	0.001	unweighted	1170	1170
13	menB	3.126393917114009	0.011	unweighted	1154	1154
14	pyrF	4.848297927295919	0.001	unweighted	1167	1167
15	argR_1	7.062752534471359	0.001	unweighted	1203	1203
16	ileS	3.198969714230642	0.008	unweighted	1152	1152
17	sgbU	2.7251929375537083	0.016	unweighted	1170	1170
18	yjjN_2	2.905046802835377	0.005	unweighted	1209	1209
19	yegX	2.918143265816292	0.009	unweighted	1174	1174
20	yhbX_2	5.791897210567225	0.001	unweighted	1200	1200
21	cysK	2.500756182540474	0.025	unweighted	1159	1159
22	corA	3.0088753519465996	0.008	unweighted	1152	1152
23	ygiL	2.4691837781328383	0.026	unweighted	1171	1171
24	trpD	5.725921418772441	0.001	unweighted	1171	1171
25	yfgO	3.3704672261093607	0.003	unweighted	1174	1174
26	chbC_1	3.4989535781230767	0.003	unweighted	1203	1203
27	selA	3.055140538083582	0.009	unweighted	1169	1169
28	asnS	3.281857799139624	0.005	unweighted	1165	1165
29	cbpA	3.570591218454206	0.009	unweighted	1162	1162
30	cyaY	3.299663921860561	0.002	unweighted	1171	1171
31	yqaE	5.00778754101147	0.001	unweighted	1181	1181
32	hns_2	4.702090338270555	0.001	unweighted	1201	1201
33	imm_1	4.5259479600294155	0.001	unweighted	1201	1201
34	yphA	2.460170492942574	0.03	unweighted	1156	1156
35	efeU	4.1874360251556855	0.002	unweighted	1159	1159
36	yhbU	2.7589954655445457	0.018	unweighted	1175	1175
37	lepA	2.7922981886110416	0.015	unweighted	1164	1164
38	ptsG_2	4.114708391076874	0.001	unweighted	1206	1206
39	ydiQ	4.157566881189946	0.002	unweighted	1182	1182
40	cysA	3.077815064417602	0.014	unweighted	1163	1163
41	dnaJ	3.2428897200887716	0.005	unweighted	1159	1159
42	mlaF	2.517299717171225	0.029	unweighted	1166	1166
43	arnT	3.4751404641238928	0.004	unweighted	1159	1159
44	prfC	5.209228338207408	0.001	unweighted	1168	1168
45	lolA_2	3.4717870455216158	0.006	unweighted	1205	1205
46	ygiF	2.818078281500516	0.016	unweighted	1171	1171
47	yjeH	3.2206328123158503	0.007	unweighted	1168	1168
48	tonB_2	5.476524190944164	0.001	unweighted	1201	1201
49	cdiA_1	3.28574499107359	0.001	unweighted	1187	1187
50	yraR	2.8297408550029752	0.013	unweighted	1167	1167
51	fecE_1	6.13282004945799	0.001	unweighted	1209	1209
52	satP	3.0079113322983417	0.015	unweighted	1174	1174
53	potA	3.8687088972890087	0.005	unweighted	1163	1163
54	ispF	4.157340429216522	0.002	unweighted	1179	1179
55	torR_2	5.301491230048862	0.001	unweighted	1211	1211
56	zur	3.896550426750542	0.003	unweighted	1166	1166
57	tolB	3.6086605415836086	0.001	unweighted	1156	1156
58	csgC	3.9743611429393946	0.004	unweighted	1174	1174
59	acrB_1	3.314212786042216	0.001	unweighted	1209	1209
60	rpoC	3.640500385158704	0.003	unweighted	1163	1163
61	menH	3.107804570332363	0.01	unweighted	1159	1159
62	ynfH	3.5493671892931817	0.002	unweighted	1173	1173
63	ynhF	4.440152448704531	0.002	unweighted	1183	1183
64	ybjK	3.6612795587905613	0.004	unweighted	1146	1146
65	ydiE	3.1570421588596247	0.01	unweighted	1167	1167
66	yieK	3.024584381829902	0.005	unweighted	1184	1184
67	pheP	3.6670816855734953	0.003	unweighted	1150	1150
68	trkA	4.006169170257273	0.002	unweighted	1161	1161
69	cysU	2.3366661532680477	0.041	unweighted	1151	1151
70	glcB	2.8292101828011815	0.008	unweighted	1159	1159
71	yibL	3.13848502936622	0.012	unweighted	1159	1159
72	moaE	3.2015152438503462	0.006	unweighted	1148	1148
73	lpxA	4.584019088868475	0.002	unweighted	1175	1175
74	xylG	2.498383776587743	0.023	unweighted	1165	1165
75	ydgK	4.243288228575879	0.002	unweighted	1172	1172
76	yshB	3.469826431877819	0.004	unweighted	1175	1175
77	tdcB	2.5560364368031947	0.026	unweighted	1164	1164
78	agaS	2.5779029061577114	0.029	unweighted	1174	1174
79	yadD_2	4.874979673901929	0.001	unweighted	1206	1206
80	yfjQ_3	6.700248320166626	0.001	unweighted	1206	1206
81	mtlA	3.303080595887911	0.009	unweighted	1158	1158
82	epmB	3.438555872813187	0.008	unweighted	1174	1174
83	dacD	3.4988038467941096	0.002	unweighted	1179	1179
84	flu_3	7.719761893527107	0.001	unweighted	1173	1173
85	rop	1.5398563196625052	0.192	unweighted	1126	1126
86	rpsK	3.5292232066637257	0.003	unweighted	1170	1170
87	acrA_2	4.745150854129005	0.001	unweighted	1210	1210
88	hyaB	3.0864728877285317	0.014	unweighted	1167	1167
89	sodA	2.8116085460957057	0.021	unweighted	1169	1169
90	dppB_1	3.7112289337729805	0.001	unweighted	1211	1211
91	cdd	2.9898532366963138	0.01	unweighted	1173	1173
92	visC	3.8597550103059914	0.004	unweighted	1169	1169
93	nac	3.735958660051004	0.003	unweighted	1167	1167
94	ycjR	5.308149583172892	0.001	unweighted	1164	1164
95	recF_1	3.047162508301469	0.009	unweighted	1210	1210
96	rpsA	3.5044384141299774	0.003	unweighted	1160	1160
97	yadL	4.383911036324381	0.001	unweighted	1170	1170
98	ymfA	3.976513786077352	0.001	unweighted	1177	1177
99	ydiF_1	7.270715785332342	0.001	unweighted	1212	1212
100	ribC	3.555153775338047	0.003	unweighted	1161	1161
101	ycjX	4.459284353407501	0.001	unweighted	1167	1167
102	dnaT	3.2168447843616788	0.005	unweighted	1168	1168
103	yibF	3.3041443298442252	0.006	unweighted	1169	1169
104	lpxK	3.7772617155907797	0.002	unweighted	1170	1170
105	ydiO	4.430054609387987	0.001	unweighted	1167	1167
106	pstB	3.6462068379481702	0.004	unweighted	1188	1188
107	caiE_2	4.7618173788849365	0.001	unweighted	1196	1196
108	argC	3.4239111858238105	0.001	unweighted	1166	1166
109	ysaA	3.1589184522295413	0.008	unweighted	1163	1163
110	cyoC	3.8505984171286163	0.002	unweighted	1156	1156
111	bioF	3.6772109406617517	0.007	unweighted	1131	1131
112	ppsR	3.6311072013381014	0.006	unweighted	1167	1167
113	yfjI_2	4.127222654481018	0.001	unweighted	1205	1205
114	dgoK_1	11.457378163983105	0.001	unweighted	1209	1209
115	bhsA_2	4.307377161126263	0.001	unweighted	1206	1206
116	yfcJ	3.1087891154255614	0.004	unweighted	1157	1157
117	glnP	4.073702068234832	0.003	unweighted	1142	1142
118	ydcP	5.08672334684436	0.001	unweighted	1142	1142
119	yihY	3.3542825659729276	0.008	unweighted	1176	1176
120	yddW	3.253682928498636	0.003	unweighted	1172	1172
121	cbeA_4	7.414079288712901	0.001	unweighted	1107	1107
122	galP	3.784725977532403	0.001	unweighted	1169	1169
123	yhhT	3.142630562563232	0.008	unweighted	1164	1164
124	sdsR	3.9355568317619527	0.003	unweighted	1169	1169
125	rplK	3.3104695199716137	0.007	unweighted	1171	1171
126	yedW_6	3.951986696095257	0.001	unweighted	1210	1210
127	usg	3.4257405092455246	0.004	unweighted	1161	1161
128	yciN	5.144466320555895	0.001	unweighted	1180	1180
129	ecpE	3.487845414800638	0.003	unweighted	1175	1175
130	recX	4.385724766687926	0.001	unweighted	1174	1174
131	agaD_1	2.505516452412197	0.023	unweighted	1205	1205
132	ytfG	3.0729626679219075	0.008	unweighted	1147	1147
133	rtcB_1	6.7883307553405885	0.001	unweighted	1204	1204
134	mppA	4.239688572421523	0.002	unweighted	1138	1138
135	panE	3.615856595193446	0.003	unweighted	1146	1146
136	folX	2.8506795169062977	0.015	unweighted	1169	1169
137	wcaE	2.840291138285919	0.013	unweighted	1154	1154
138	yneJ	4.928265775615935	0.001	unweighted	1179	1179
139	rplA	3.347134010435786	0.006	unweighted	1172	1172
140	rhaR	2.39700010759812	0.038	unweighted	1167	1167
141	ptsN	2.965258780075058	0.008	unweighted	1168	1168
142	ybiI	3.8677983857227103	0.004	unweighted	1154	1154
143	hypF	4.4759691659029635	0.002	unweighted	1156	1156
144	recR	4.115214098005322	0.001	unweighted	1167	1167
145	anmK	4.587153044567742	0.001	unweighted	1162	1162
146	ftsN	2.830901020801052	0.018	unweighted	1156	1156
147	dhaR	3.908846407968547	0.006	unweighted	1166	1166
148	csdA	3.672206466500952	0.004	unweighted	1174	1174
149	tar	3.495603435802826	0.005	unweighted	1156	1156
150	zapC	2.733281162805247	0.022	unweighted	1162	1162
151	mreD	2.3566199000950356	0.035	unweighted	1175	1175
152	actP	3.1925830264751323	0.008	unweighted	1151	1151
153	yjfJ	2.9484516008350767	0.015	unweighted	1163	1163
154	infA	3.635838263408968	0.004	unweighted	1147	1147
155	sdhC	3.326197495036152	0.006	unweighted	1177	1177
156	preA	2.5813572844974924	0.025	unweighted	1153	1153
157	tfaE_2	4.152746302261599	0.001	unweighted	1200	1200
158	hscC	3.974538962558474	0.003	unweighted	1156	1156
159	sucC_1	4.889672943177528	0.001	unweighted	1206	1206
160	sfsB	2.8316932412825033	0.014	unweighted	1177	1177
161	yqjD_2	3.899990996177148	0.003	unweighted	1205	1205
162	gabT	4.487157788287595	0.003	unweighted	1170	1170
163	ydcZ	5.143476417660567	0.001	unweighted	1166	1166
164	eco	3.0652142229055084	0.011	unweighted	1169	1169
165	fecA	2.5097471719381144	0.028	unweighted	1163	1163
166	glgS	2.612027553741766	0.02	unweighted	1175	1175
167	putP	4.7550785888537535	0.001	unweighted	1157	1157
168	yhcN_1	6.726374889884034	0.001	unweighted	1200	1200
169	ftsZ	2.5793139414804362	0.022	unweighted	1163	1163
170	gsiC	3.558788242842852	0.006	unweighted	1138	1138
171	rplU	2.5792075888751667	0.033	unweighted	1177	1177
172	rihB	3.0437367515064753	0.015	unweighted	1179	1179
173	dedA	3.078765136783569	0.004	unweighted	1147	1147
174	bamC	2.911103817960259	0.009	unweighted	1168	1168
175	tyrB	2.8866943066136126	0.017	unweighted	1160	1160
176	dsbL	2.6843081662914225	0.016	unweighted	1174	1174
177	sapA	5.005465719146356	0.001	unweighted	1172	1172
178	yjhP	4.022969507202539	0.002	unweighted	1167	1167
179	napD	2.9507805279723827	0.014	unweighted	1171	1171
180	ygjP	2.848276610760972	0.01	unweighted	1172	1172
181	ldhA	3.8133007972862885	0.002	unweighted	1127	1127
182	fcl	2.6296996940201405	0.022	unweighted	1148	1148
183	yeiP_1	7.783899847468161	0.001	unweighted	1203	1203
184	hflD	3.827998328076052	0.007	unweighted	1177	1177
185	marB	4.076955480230401	0.001	unweighted	1176	1176
186	yhhJ	2.2759752247697262	0.043	unweighted	1163	1163
187	ilvB_1	7.6914108246834445	0.001	unweighted	1206	1206
188	yecC	3.779083907561951	0.005	unweighted	1158	1158
189	ydjG	3.1091816277237676	0.009	unweighted	1162	1162
190	yihG	3.334889043020654	0.008	unweighted	1173	1173
191	rcnR	3.172906242293076	0.006	unweighted	1186	1186
192	ydcN	4.6012862008651485	0.001	unweighted	1147	1147
193	ygcS	4.904552588725486	0.001	unweighted	1167	1167
194	yfdY	3.231285379632551	0.008	unweighted	1171	1171
195	entE_1	5.395804513229689	0.001	unweighted	1204	1204
196	oppF	4.689724079977809	0.002	unweighted	1183	1183
197	dcuC	3.297492951298706	0.007	unweighted	1161	1161
198	kduI	3.5664591584144887	0.007	unweighted	1179	1179
199	hinT	3.8949365274029013	0.006	unweighted	1171	1171
200	ydjM	3.752436751975685	0.003	unweighted	1172	1172
201	yiaD	2.7838097859021493	0.011	unweighted	1153	1153
202	yfjJ_1	3.688070898191502	0.001	unweighted	1204	1204
203	pspG	3.1900058080161764	0.008	unweighted	1166	1166
204	galD	3.6234601735479566	0.005	unweighted	1168	1168
205	glnD	4.6222048365586526	0.002	unweighted	1165	1165
206	phoQ	3.9585279216099067	0.001	unweighted	1168	1168
207	fryC	3.203699619486042	0.006	unweighted	1173	1173
208	nudK	3.250500658689738	0.002	unweighted	1184	1184
209	ygdQ_1	2.8780730593222743	0.004	unweighted	1207	1207
210	dhaL	4.97706001139884	0.001	unweighted	1165	1165
211	ftsP	2.7283532862177067	0.019	unweighted	1172	1172
212	ybiW	3.736884524062511	0.002	unweighted	1147	1147
213	ptsP	3.0069612874854963	0.02	unweighted	1176	1176
214	diaA	2.8309765555449746	0.016	unweighted	1165	1165
215	exuT_1	7.5691244534141	0.001	unweighted	1210	1210
216	waaA	2.535607186047806	0.022	unweighted	1175	1175
217	rutB_2	3.14077920458906	0.002	unweighted	1205	1205
218	dppC	3.607445538910031	0.004	unweighted	1172	1172
219	rseA	3.452472320092431	0.002	unweighted	1166	1166
220	gspM	3.7825299813275572	0.004	unweighted	1174	1174
221	yaeQ	4.212923379136798	0.001	unweighted	1172	1172
222	fliI	4.308065415705394	0.001	unweighted	1167	1167
223	flgG	3.8570674925349455	0.003	unweighted	1161	1161
224	ytjB	2.73188267061264	0.021	unweighted	1164	1164
225	rfaD	3.108268798310469	0.008	unweighted	1164	1164
226	eutC	2.8716386251231234	0.012	unweighted	1172	1172
227	rffC	3.251507579186943	0.011	unweighted	1176	1176
228	yceK	4.288756883006817	0.001	unweighted	1171	1171
229	ycbL	3.056799890730037	0.008	unweighted	1159	1159
230	accD	2.977550779716052	0.009	unweighted	1149	1149
231	ybeF	3.377130988529338	0.008	unweighted	1166	1166
232	htpG	3.8929786755344282	0.004	unweighted	1144	1144
233	ybbA	4.451597405253268	0.001	unweighted	1165	1165
234	rimP	2.588050428447131	0.024	unweighted	1167	1167
235	fdhD	2.7503678082245337	0.02	unweighted	1168	1168
236	ydhR	3.941726085130672	0.002	unweighted	1175	1175
237	nagD	3.1536342682879974	0.012	unweighted	1166	1166
238	astA	3.8484704114900143	0.004	unweighted	1168	1168
239	yqgA	3.4626678566403624	0.006	unweighted	1164	1164
240	rluF	2.8377890127361733	0.018	unweighted	1157	1157
241	cpsG_2	3.852548325950368	0.001	unweighted	1198	1198
242	ygfK	3.2443803178239863	0.004	unweighted	1162	1162
243	narQ	3.137998862266805	0.008	unweighted	1151	1151
244	maeB	2.5576636852381567	0.013	unweighted	1140	1140
245	yfhH	3.280592080188756	0.008	unweighted	1158	1158
246	thiQ	3.1296221105914093	0.004	unweighted	1181	1181
247	bcr_1	3.816682751401762	0.001	unweighted	1211	1211
248	adrA	3.4830451216095852	0.001	unweighted	1161	1161
249	ilvH	3.0959768367952085	0.004	unweighted	1171	1171
250	nusA	2.487077578791562	0.024	unweighted	1159	1159
251	rng	2.086741165685191	0.064	unweighted	1158	1158
252	secF	3.351918363223996	0.005	unweighted	1160	1160
253	srlE	4.590810785905449	0.001	unweighted	1183	1183
254	uxuB	2.5766124258840426	0.028	unweighted	1182	1182
255	fdoI	2.3756738268379096	0.031	unweighted	1160	1160
256	lexA	3.408027719663398	0.004	unweighted	1167	1167
257	sseA	2.5419806524027964	0.022	unweighted	1144	1144
258	zitB	3.451876181283033	0.008	unweighted	1161	1161
259	ydhX	4.469734246978057	0.003	unweighted	1182	1182
260	yeeT_5	6.533435609649893	0.001	unweighted	1036	1036
261	bglF	2.767446240023113	0.013	unweighted	1179	1179
262	rhlE_1	4.028501141956678	0.001	unweighted	1211	1211
263	mngR	2.71305678690833	0.025	unweighted	1171	1171
264	fabH_2	5.785680264814708	0.001	unweighted	1202	1202
265	ybhL_2	3.684958300965844	0.004	unweighted	1200	1200
266	fruA_2	3.9254486276182905	0.001	unweighted	1205	1205
267	fimF_2	3.5499233784333795	0.001	unweighted	1204	1204
268	ahpF	3.2478090092751417	0.005	unweighted	1148	1148
269	yghO	2.5583979053224484	0.027	unweighted	1163	1163
270	ulaG	3.119768429605739	0.007	unweighted	1168	1168
271	insN-1_5	7.793198320589141	0.001	unweighted	1112	1112
272	rbsK_3	5.618930201146539	0.001	unweighted	1203	1203
273	fliC	3.6119509498947227	0.005	unweighted	1172	1172
274	lolC	4.23451680285687	0.001	unweighted	1174	1174
275	flgM	4.062655245850925	0.003	unweighted	1177	1177
276	yiaO_2	3.848453112176182	0.003	unweighted	1211	1211
277	ycbF	3.4519798181408494	0.005	unweighted	1179	1179
278	yeeJ_2	4.158846020866993	0.003	unweighted	1199	1199
279	chbG	3.6290703431771894	0.003	unweighted	1168	1168
280	bcsZ	3.164288745631322	0.012	unweighted	1170	1170
281	mdaB	2.7527180279570547	0.017	unweighted	1181	1181
282	aaeA_3	3.935911344870776	0.001	unweighted	1193	1193
283	coaD	3.180902491050857	0.003	unweighted	1176	1176
284	yehA	2.631514916453374	0.019	unweighted	1174	1174
285	sgcB	4.215995852419426	0.001	unweighted	1170	1170
