	41B_Day7	41B_Month1	41B_Month3	41B_Month6	41LL_Day7	41LL_Month3	41LL_Month6	41L_Day3	41L_Day7	41L_Month1	41L_Month10	41L_Month3	41L_Month6	41N_Day7	41N_Month1	41N_Month3	41N_Month6	41R_Day3	41R_Day7	41R_Month1	41R_Month10	41R_Month3	41R_Month6	42L_Day7	42L_Month3	42L_Month6	42N_Day7	42N_Month3	42N_Month6	42R_Day7	42R_Month3	42R_Month6	43B_Day7	43B_Month6	43L_Day7	43L_Month6	43N_Day7	43N_Month6	43R_Day7	43R_Month6	44B_Day7	44B_Month6	44L_Day7	44L_Month6	44N_Day7	44N_Month1	44N_Month6	44R_Day3	44R_Day7	44R_Month1	44R_Month10	44R_Month6	45L_Day7	45L_Month3	45N_Day7	45N_Month3	45R_Day7	46L_Day7	46L_Month6	46N_Day3	46N_Day7	46N_Month1	46N_Month10	46N_Month6	46R_Day7	46R_Month1	46R_Month6
group_165	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_168	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
virB8	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_174	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_177	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_180	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
virB4	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_189	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_195	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_198	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_201	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_227	24	10	20	22	18	19	24	23	21	21	22	14	22	12	12	18	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	21	19	16	21
xerC_4	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_47	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
virB9	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	16	21
group_138	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	21	19	16	21
group_150	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	21	19	16	21
group_153	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	21	19	16	21
group_159	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	21	19	16	21
group_186	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	21	19	16	21
group_204	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	21	19	16	21
dnaT	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	19	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	15	21
group_259	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	19	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	15	21
group_263	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	19	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	22	19	15	21
group_56	24	10	19	22	17	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	21	19	16	21
relE	24	10	19	22	18	19	24	23	21	21	23	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	19	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	19	23	21	19	15	21
group_192	24	10	19	22	18	19	24	21	21	20	22	14	22	12	12	17	24	23	18	22	24	19	23	24	16	18	24	19	20	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	21	24	19	23	21	17	16	21
group_144	24	10	19	22	18	19	21	22	20	21	23	13	22	12	12	17	24	23	18	22	23	19	23	24	16	18	24	18	20	24	18	20	24	23	24	24	24	24	24	24	24	20	24	18	24	10	21	24	24	21	24	17	22	21	24	18	24	17	20	22	24	18	22	21	19	15	20
group_291	24	10	19	22	18	17	24	23	21	21	23	14	22	11	12	18	24	22	18	22	24	19	23	24	15	16	24	19	19	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	10	21	23	24	21	23	17	22	21	24	18	24	17	20	22	24	19	22	22	19	15	17
group_29	24	5	19	22	18	17	24	23	21	21	22	14	22	11	11	16	24	22	18	22	24	19	23	24	14	16	24	19	19	24	17	20	24	24	24	24	24	24	24	24	24	20	24	18	24	9	21	23	24	21	23	17	22	21	24	18	23	17	20	22	24	19	21	21	19	14	16
group_39	24	8	19	22	18	18	23	23	20	20	22	13	22	11	11	16	24	23	17	22	22	19	23	24	15	18	24	19	19	24	18	20	24	24	24	24	24	24	24	24	24	20	24	18	24	6	21	23	23	20	22	17	22	20	24	16	24	17	20	22	24	19	23	21	19	13	18
