	observed_features
23B_Day7_10	22
23B_Day7_11	21
23B_Day7_12	21
23B_Day7_13	11
23B_Day7_14	12
23B_Day7_15	21
23B_Day7_16	12
23B_Day7_17	14
23B_Day7_18	22
23B_Day7_19	12
23B_Day7_1	21
23B_Day7_20	77
23B_Day7_21	11
23B_Day7_22	10
23B_Day7_23	12
23B_Day7_24	11
23B_Day7_2	24
23B_Day7_3	11
23B_Day7_4	12
23B_Day7_5	26
23B_Day7_6	22
23B_Day7_7	11
23B_Day7_8	11
23B_Day7_9	22
23B_Month3_10	11
23B_Month3_11	4
23B_Month3_12	12
23B_Month3_13	22
23B_Month3_14	22
23B_Month3_15	11
23B_Month3_16	22
23B_Month3_17	22
23B_Month3_18	11
23B_Month3_19	12
23B_Month3_1	21
23B_Month3_20	4
23B_Month3_21	22
23B_Month3_22	12
23B_Month3_23	11
23B_Month3_24	13
23B_Month3_2	22
23B_Month3_3	22
23B_Month3_4	17
23B_Month3_5	21
23B_Month3_6	22
23B_Month3_7	12
23B_Month3_8	12
23B_Month3_9	22
23B_Month6_10	22
23B_Month6_11	21
23B_Month6_12	21
23B_Month6_13	22
23B_Month6_14	22
23B_Month6_15	22
23B_Month6_16	21
23B_Month6_17	22
23B_Month6_18	21
23B_Month6_19	26
23B_Month6_1	22
23B_Month6_20	22
23B_Month6_21	22
23B_Month6_22	22
23B_Month6_23	22
23B_Month6_24	22
23B_Month6_2	22
23B_Month6_3	22
23B_Month6_4	21
23B_Month6_5	22
23B_Month6_6	22
23B_Month6_7	21
23B_Month6_8	20
23B_Month6_9	21
23LL_Day3_10	21
23LL_Day3_11	12
23LL_Day3_12	11
23LL_Day3_13	12
23LL_Day3_14	12
23LL_Day3_15	12
23LL_Day3_16	12
23LL_Day3_17	12
23LL_Day3_18	11
23LL_Day3_19	11
23LL_Day3_1	12
23LL_Day3_20	17
23LL_Day3_21	7
23LL_Day3_22	9
23LL_Day3_23	13
23LL_Day3_24	21
23LL_Day3_2	38
23LL_Day3_3	22
23LL_Day3_4	12
23LL_Day3_5	11
23LL_Day3_6	25
23LL_Day3_7	12
23LL_Day3_8	11
23LL_Day3_9	15
23LL_Day7_10	22
23LL_Day7_11	22
23LL_Day7_12	21
23LL_Day7_15	12
23LL_Day7_16	13
23LL_Day7_17	11
23LL_Day7_18	221
23LL_Day7_19	12
23LL_Day7_1	21
23LL_Day7_20	12
23LL_Day7_23	17
23LL_Day7_24	11
23LL_Day7_2	17
23LL_Day7_3	21
23LL_Day7_4	21
23LL_Day7_5	22
23LL_Day7_6	22
23LL_Day7_7	21
23LL_Day7_8	21
23LL_Day7_9	21
23LL_Month10_10	12
23LL_Month10_11	12
23LL_Month10_12	22
23LL_Month10_13	11
23LL_Month10_14	21
23LL_Month10_15	13
23LL_Month10_16	12
23LL_Month10_17	47
23LL_Month10_18	12
23LL_Month10_19	12
23LL_Month10_1	12
