	observed_features
23LL_Month10_20	22
23LL_Month10_21	12
23LL_Month10_22	58
23LL_Month10_23	12
23LL_Month10_24	12
23LL_Month10_2	12
23LL_Month10_3	12
23LL_Month10_4	11
23LL_Month10_5	12
23LL_Month10_6	26
23LL_Month10_7	11
23LL_Month10_8	22
23LL_Month10_9	10
23LL_Month1_10	11
23LL_Month1_11	12
23LL_Month1_12	17
23LL_Month1_13	13
23LL_Month1_14	12
23LL_Month1_15	12
23LL_Month1_16	12
23LL_Month1_17	7
23LL_Month1_18	12
23LL_Month1_19	12
23LL_Month1_1	12
23LL_Month1_20	22
23LL_Month1_21	12
23LL_Month1_22	11
23LL_Month1_23	11
23LL_Month1_24	13
23LL_Month1_2	11
23LL_Month1_3	24
23LL_Month1_4	11
23LL_Month1_5	11
23LL_Month1_6	12
23LL_Month1_7	12
23LL_Month1_8	12
23LL_Month1_9	10
23LL_Month3_10	22
23LL_Month3_11	17
23LL_Month3_12	22
23LL_Month3_13	11
23LL_Month3_14	22
23LL_Month3_15	11
23LL_Month3_16	11
23LL_Month3_17	21
23LL_Month3_18	21
23LL_Month3_19	4
23LL_Month3_1	21
23LL_Month3_20	11
23LL_Month3_21	12
23LL_Month3_22	13
23LL_Month3_23	12
23LL_Month3_24	10
23LL_Month3_2	21
23LL_Month3_3	22
23LL_Month3_4	22
23LL_Month3_5	22
23LL_Month3_6	21
23LL_Month3_7	22
23LL_Month3_8	22
23LL_Month3_9	5
23L_Day7_10	22
23L_Day7_11	21
23L_Day7_12	22
23L_Day7_13	21
23L_Day7_14	45
23L_Day7_1	47
23L_Day7_2	12
23L_Day7_3	38
23L_Day7_4	30
23L_Day7_5	23
23L_Day7_6	45
23L_Day7_7	22
23L_Day7_8	27
23L_Day7_9	22
23N_Day7_10	22
23N_Day7_11	22
23N_Day7_12	22
23N_Day7_13	11
23N_Day7_14	12
23N_Day7_15	5
23N_Day7_16	5
23N_Day7_17	12
23N_Day7_18	11
23N_Day7_19	11
23N_Day7_1	22
23N_Day7_20	22
23N_Day7_21	12
23N_Day7_22	12
23N_Day7_23	11
23N_Day7_24	10
23N_Day7_2	17
23N_Day7_3	22
23N_Day7_4	22
23N_Day7_5	22
23N_Day7_6	22
23N_Day7_7	20
23N_Day7_8	21
23N_Day7_9	22
23N_Month3_10	22
23N_Month3_11	22
23N_Month3_12	11
23N_Month3_13	12
23N_Month3_14	13
23N_Month3_15	21
23N_Month3_16	21
23N_Month3_17	5
23N_Month3_18	11
23N_Month3_19	12
23N_Month3_1	22
23N_Month3_20	10
23N_Month3_21	12
23N_Month3_22	12
23N_Month3_23	12
23N_Month3_24	11
23N_Month3_2	21
23N_Month3_3	21
23N_Month3_4	22
23N_Month3_5	11
23N_Month3_6	21
23N_Month3_7	22
23N_Month3_8	21
23N_Month3_9	21
23N_Month6_10	21
23N_Month6_11	21
23N_Month6_12	21
23N_Month6_13	21
23N_Month6_14	21
23N_Month6_15	22
23N_Month6_16	21
23N_Month6_17	22
23N_Month6_18	28
23N_Month6_19	22
23N_Month6_1	21
23N_Month6_20	22
23N_Month6_21	22
23N_Month6_22	20
23N_Month6_23	22
23N_Month6_24	21
23N_Month6_2	20
23N_Month6_3	16
23N_Month6_4	22
23N_Month6_5	21
23N_Month6_6	21
23N_Month6_7	21
23N_Month6_8	22
23N_Month6_9	20
23R_Day7_10	21
23R_Day7_11	22
23R_Day7_12	21
23R_Day7_13	16
23R_Day7_14	11
23R_Day7_15	16
23R_Day7_16	22
23R_Day7_17	16
23R_Day7_18	22
23R_Day7_19	12
23R_Day7_1	25
23R_Day7_20	12
23R_Day7_21	11
23R_Day7_22	31
23R_Day7_23	11
23R_Day7_24	13
23R_Day7_2	21
23R_Day7_3	21
23R_Day7_4	21
23R_Day7_5	22
23R_Day7_6	21
23R_Day7_7	22
23R_Day7_8	21
23R_Day7_9	20
23R_Month3_1	21
23R_Month3_2	22
23R_Month3_3	12
23R_Month3_4	22
23R_Month6_10	22
23R_Month6_11	21
23R_Month6_12	22
23R_Month6_14	22
23R_Month6_15	22
23R_Month6_16	22
23R_Month6_17	22
23R_Month6_1	21
23R_Month6_2	23
23R_Month6_3	20
23R_Month6_4	22
23R_Month6_5	22
23R_Month6_6	22
23R_Month6_7	21
23R_Month6_8	22
24B_Day7_10	22
24B_Day7_11	10
24B_Day7_12	11
24B_Day7_13	30
24B_Day7_14	61
24B_Day7_16	21
24B_Day7_17	30
24B_Day7_22	192
24B_Day7_23	11
24B_Day7_24	12
24B_Day7_2	22
24B_Day7_3	13
24B_Day7_4	11
24B_Day7_5	11
24B_Day7_6	17
24B_Day7_7	22
24B_Day7_9	11
24L_Day7_10	12
24L_Day7_11	12
24L_Day7_12	22
24L_Day7_13	23
24L_Day7_14	15
24L_Day7_15	22
24L_Day7_16	21
24L_Day7_17	22
24L_Day7_18	23
24L_Day7_19	66
24L_Day7_1	22
24L_Day7_20	41
24L_Day7_21	29
24L_Day7_22	20
24L_Day7_23	22
24L_Day7_24	30
24L_Day7_2	22
24L_Day7_3	22
24L_Day7_4	22
24L_Day7_5	22
24L_Day7_6	17
24L_Day7_7	16
24L_Day7_8	17
24L_Day7_9	11
24N_Day7_10	21
24N_Day7_11	22
24N_Day7_12	22
24N_Day7_13	12
24N_Day7_14	21
24N_Day7_15	12
24N_Day7_16	23
24N_Day7_17	21
24N_Day7_18	31
24N_Day7_19	21
24N_Day7_1	22
24N_Day7_20	41
24N_Day7_21	22
24N_Day7_22	22
24N_Day7_24	40
24N_Day7_2	12
24N_Day7_3	17
24N_Day7_4	16
24N_Day7_5	22
24N_Day7_6	16
24N_Day7_7	17
24N_Day7_9	17
25L_Day7_10	11
25L_Day7_11	22
25L_Day7_12	10
25L_Day7_13	342
25L_Day7_16	11
25L_Day7_17	12
25L_Day7_18	17
25L_Day7_19	17
25L_Day7_1	22
25L_Day7_20	21
25L_Day7_21	17
25L_Day7_23	12
25L_Day7_24	21
25L_Day7_2	31
25L_Day7_3	16
25L_Day7_4	22
25L_Day7_5	22
25L_Day7_6	17
25L_Day7_7	11
25L_Day7_8	22
25L_Day7_9	10
25N_Day3_10	12
25N_Day3_11	18
25N_Day3_12	33
25N_Day3_13	12
25N_Day3_14	12
25N_Day3_15	12
25N_Day3_16	11
25N_Day3_17	12
25N_Day3_18	12
25N_Day3_19	30
25N_Day3_1	18
25N_Day3_20	12
25N_Day3_21	12
25N_Day3_22	11
25N_Day3_23	11
25N_Day3_24	61
25N_Day3_2	23
25N_Day3_3	12
25N_Day3_4	11
25N_Day3_5	11
25N_Day3_6	12
25N_Day3_7	12
25N_Day3_8	12
25N_Day3_9	22
25N_Day7_10	13
25N_Day7_11	12
25N_Day7_12	5
25N_Day7_13	11
25N_Day7_14	12
25N_Day7_15	40
25N_Day7_16	12
25N_Day7_17	12
25N_Day7_18	16
25N_Day7_19	11
25N_Day7_1	22
25N_Day7_20	16
25N_Day7_21	22
25N_Day7_22	22
25N_Day7_23	21
25N_Day7_24	23
25N_Day7_2	17
25N_Day7_3	22
25N_Day7_4	17
25N_Day7_5	12
25N_Day7_6	10
25N_Day7_7	12
25N_Day7_8	22
25N_Day7_9	12
25N_Month10_1	7
25N_Month10_2	19
25N_Month10_3	11
25N_Month10_5	22
25N_Month10_6	9
25N_Month10_7	17
25N_Month10_8	7
25N_Month1_10	11
25N_Month1_11	37
25N_Month1_12	52
25N_Month1_13	11
25N_Month1_14	11
25N_Month1_15	12
25N_Month1_16	12
25N_Month1_17	12
25N_Month1_18	12
25N_Month1_19	12
25N_Month1_1	12
25N_Month1_20	16
25N_Month1_21	12
25N_Month1_22	11
25N_Month1_23	12
25N_Month1_24	7
25N_Month1_2	12
25N_Month1_3	12
25N_Month1_4	12
25N_Month1_5	11
25N_Month1_6	12
25N_Month1_7	10
25N_Month1_8	12
25N_Month1_9	56
25N_Month3_10	12
25N_Month3_11	22
25N_Month3_12	11
25N_Month3_13	21
25N_Month3_14	22
25N_Month3_15	5
25N_Month3_17	11
25N_Month3_18	12
25N_Month3_19	12
25N_Month3_1	12
25N_Month3_20	12
25N_Month3_21	12
25N_Month3_22	11
25N_Month3_23	12
25N_Month3_24	10
25N_Month3_2	22
25N_Month3_3	22
25N_Month3_4	22
25N_Month3_5	21
25N_Month3_6	11
25N_Month3_7	11
25N_Month3_8	12
25N_Month3_9	22
25N_Month6_10	21
25N_Month6_12	21
25N_Month6_13	22
25N_Month6_14	24
25N_Month6_15	21
25N_Month6_16	12
25N_Month6_17	22
25N_Month6_18	22
25N_Month6_19	21
25N_Month6_1	22
25N_Month6_20	62
25N_Month6_22	22
25N_Month6_23	20
25N_Month6_24	22
25N_Month6_2	10
25N_Month6_3	22
25N_Month6_4	11
25N_Month6_5	23
25N_Month6_6	22
25N_Month6_7	22
25N_Month6_8	21
25N_Month6_9	22
25R_Day7_10	22
25R_Day7_11	11
25R_Day7_12	21
25R_Day7_13	12
25R_Day7_14	12
25R_Day7_16	12
25R_Day7_17	4
25R_Day7_1	22
25R_Day7_20	22
25R_Day7_21	22
25R_Day7_22	22
25R_Day7_2	22
25R_Day7_3	22
25R_Day7_4	22
25R_Day7_5	22
25R_Day7_6	11
25R_Day7_7	11
25R_Day7_8	11
25R_Day7_9	22
25R_Month6_1	17
26B_Day7_10	12
26B_Day7_11	22
26B_Day7_12	12
26B_Day7_13	18
26B_Day7_14	22
26B_Day7_1	12
26B_Day7_20	12
26B_Day7_22	12
26B_Day7_24	22
26B_Day7_2	22
26B_Day7_3	22
26B_Day7_4	22
26B_Day7_5	11
26B_Day7_6	12
26B_Day7_7	11
26B_Day7_9	21
26B_Month3_10	22
26B_Month3_11	22
26B_Month3_12	21
26B_Month3_13	22
26B_Month3_14	22
26B_Month3_15	29
26B_Month3_16	22
26B_Month3_17	22
26B_Month3_18	20
26B_Month3_19	22
26B_Month3_1	22
26B_Month3_20	22
26B_Month3_21	22
26B_Month3_22	22
26B_Month3_24	22
26B_Month3_2	22
26B_Month3_3	21
26B_Month3_4	5
26B_Month3_5	22
26B_Month3_6	12
26B_Month3_7	25
26B_Month3_8	5
26B_Month3_9	22
26B_Month6_10	11
26B_Month6_11	12
26B_Month6_12	22
26B_Month6_13	22
26B_Month6_14	10
26B_Month6_15	23
26B_Month6_16	22
26B_Month6_17	5
26B_Month6_18	12
26B_Month6_19	11
26B_Month6_1	10
26B_Month6_20	11
26B_Month6_21	5
26B_Month6_22	11
26B_Month6_23	12
26B_Month6_24	12
26B_Month6_2	12
26B_Month6_3	12
26B_Month6_4	11
26B_Month6_5	16
26B_Month6_6	11
26B_Month6_7	17
26B_Month6_8	11
26B_Month6_9	21
26L_Day7_10	11
26L_Day7_14	12
26L_Day7_15	11
26L_Day7_16	11
26L_Day7_17	22
26L_Day7_19	22
26L_Day7_1	22
26L_Day7_20	22
26L_Day7_21	17
26L_Day7_22	12
26L_Day7_23	11
26L_Day7_24	21
26L_Day7_2	22
26L_Day7_5	5
26L_Day7_6	12
26L_Day7_7	22
26L_Day7_8	21
26L_Day7_9	12
26L_Month3_10	12
26L_Month3_11	11
26L_Month3_12	12
26L_Month3_13	13
26L_Month3_14	12
26L_Month3_15	22
26L_Month3_16	21
26L_Month3_17	15
26L_Month3_18	54
26L_Month3_19	5
26L_Month3_1	12
26L_Month3_20	21
26L_Month3_21	21
26L_Month3_22	22
26L_Month3_23	22
26L_Month3_24	21
26L_Month3_2	12
26L_Month3_3	12
26L_Month3_4	11
26L_Month3_5	23
26L_Month3_6	22
26L_Month3_7	21
26L_Month3_8	22
26L_Month3_9	12
26L_Month6_10	21
26L_Month6_11	21
26L_Month6_12	21
26L_Month6_13	20
26L_Month6_14	22
26L_Month6_15	22
26L_Month6_16	22
26L_Month6_17	21
26L_Month6_18	22
26L_Month6_19	21
26L_Month6_1	21
26L_Month6_20	20
26L_Month6_21	22
26L_Month6_22	21
26L_Month6_23	21
26L_Month6_24	17
26L_Month6_2	22
26L_Month6_3	22
26L_Month6_4	22
26L_Month6_5	22
26L_Month6_6	22
26L_Month6_7	21
26L_Month6_8	21
26L_Month6_9	16
26N_Day7_10	22
26N_Day7_11	11
26N_Day7_12	11
26N_Day7_13	22
26N_Day7_15	11
26N_Day7_16	17
26N_Day7_17	12
26N_Day7_18	31
26N_Day7_19	5
26N_Day7_1	22
26N_Day7_20	11
26N_Day7_21	5
26N_Day7_23	13
26N_Day7_24	12
26N_Day7_2	11
26N_Day7_3	21
26N_Day7_4	22
26N_Day7_5	10
26N_Day7_6	12
26N_Day7_7	10
26N_Day7_8	22
26N_Day7_9	42
26N_Month3_10	22
26N_Month3_11	11
26N_Month3_12	10
26N_Month3_13	24
26N_Month3_14	13
26N_Month3_15	22
26N_Month3_16	11
26N_Month3_17	22
26N_Month3_18	22
26N_Month3_19	22
26N_Month3_1	22
26N_Month3_20	12
26N_Month3_21	12
26N_Month3_22	21
26N_Month3_23	21
26N_Month3_24	21
26N_Month3_2	22
26N_Month3_3	22
26N_Month3_4	5
26N_Month3_5	22
26N_Month3_6	22
26N_Month3_7	22
26N_Month3_8	11
26N_Month3_9	12
27L_Day7_11	13
27L_Day7_12	12
27L_Day7_13	21
27L_Day7_14	11
27L_Day7_15	24
27L_Day7_16	16
27L_Day7_17	38
27L_Day7_18	12
27L_Day7_19	11
27L_Day7_1	22
27L_Day7_20	62
27L_Day7_21	17
27L_Day7_22	12
27L_Day7_23	11
27L_Day7_24	15
27L_Day7_2	32
27L_Day7_3	22
27L_Day7_4	22
27L_Day7_5	12
27L_Day7_6	12
27L_Day7_8	5
27L_Day7_9	10
27L_Month3_10	21
27L_Month3_10p	12
27L_Month3_11	21
27L_Month3_11p	7
27L_Month3_12	21
27L_Month3_12p	21
27L_Month3_13	22
27L_Month3_14	11
27L_Month3_15	21
27L_Month3_16	11
27L_Month3_17	22
27L_Month3_18	16
27L_Month3_19	10
27L_Month3_1	5
27L_Month3_1p	16
27L_Month3_20	22
27L_Month3_21	11
27L_Month3_22	22
27L_Month3_23	12
27L_Month3_24	5
27L_Month3_2	22
27L_Month3_2p	22
27L_Month3_3	22
27L_Month3_3p	12
27L_Month3_4	11
27L_Month3_4p	16
27L_Month3_5	5
27L_Month3_5p	12
27L_Month3_6	11
27L_Month3_6p	12
27L_Month3_7	12
27L_Month3_7p	11
27L_Month3_8	22
27L_Month3_8p	14
27L_Month3_9	22
27L_Month3_9p	11
27L_Month6_10	22
27L_Month6_11	22
27L_Month6_12	21
27L_Month6_13	22
27L_Month6_14	22
27L_Month6_15	22
27L_Month6_16	21
27L_Month6_17	22
27L_Month6_18	21
27L_Month6_19	21
27L_Month6_1	22
27L_Month6_20	22
27L_Month6_21	22
27L_Month6_22	22
27L_Month6_23	22
27L_Month6_24	22
27L_Month6_2	22
27L_Month6_3	22
27L_Month6_4	22
27L_Month6_5	22
27L_Month6_6	22
27L_Month6_7	22
27L_Month6_8	22
27L_Month6_9	22
27N_Day7_13	22
27N_Day7_14	11
27N_Day7_16	11
27N_Day7_17	24
27N_Day7_18	21
27N_Day7_1	20
27N_Day7_20	13
27N_Day7_21	21
27N_Day7_22	112
27N_Day7_23	31
27N_Day7_24	25
27N_Day7_2	17
27N_Day7_3	12
27N_Day7_6	12
27N_Day7_7	12
27N_Day7_8	10
27N_Day7_9	22
27N_Month3_10	21
27N_Month3_11	21
27N_Month3_12	21
27N_Month3_13	22
27N_Month3_14	21
27N_Month3_15	22
27N_Month3_16	22
27N_Month3_17	11
27N_Month3_18	11
27N_Month3_19	21
27N_Month3_1	20
27N_Month3_20	21
27N_Month3_21	54
27N_Month3_22	22
27N_Month3_23	12
27N_Month3_2	22
27N_Month3_3	21
27N_Month3_4	22
27N_Month3_5	21
27N_Month3_6	22
27N_Month3_7	23
27N_Month3_8	22
27N_Month3_9	22
27N_Month6_10x	25
27N_Month6_10	21
27N_Month6_11x	17
27N_Month6_12x	19
27N_Month6_13	16
27N_Month6_14	22
27N_Month6_15	21
27N_Month6_16	49
27N_Month6_17	26
27N_Month6_18	20
27N_Month6_19	12
27N_Month6_1x	12
27N_Month6_1	11
27N_Month6_20	12
27N_Month6_21	29
27N_Month6_22	11
27N_Month6_23	12
27N_Month6_24	21
27N_Month6_2x	23
27N_Month6_3x	52
27N_Month6_4x	32
27N_Month6_5x	28
27N_Month6_6x	7
27N_Month6_7x	16
27N_Month6_8x	24
27N_Month6_9x	22
27N_Month6_9	86
27R_Day7_10	12
27R_Day7_11	11
27R_Day7_12	12
27R_Day7_13	12
27R_Day7_14	47
27R_Day7_15	14
27R_Day7_16	21
27R_Day7_17	5
27R_Day7_18	22
27R_Day7_19	16
27R_Day7_1	13
27R_Day7_20	11
27R_Day7_21	22
27R_Day7_22	21
27R_Day7_23	12
27R_Day7_24	27
27R_Day7_2	12
27R_Day7_3	5
27R_Day7_4	13
27R_Day7_5	11
27R_Day7_6	13
27R_Day7_7	12
27R_Day7_8	12
27R_Day7_9	12
27R_Month3_10	11
27R_Month3_10p	12
27R_Month3_11p	12
27R_Month3_12	22
27R_Month3_12p	11
27R_Month3_13	17
27R_Month3_14	12
27R_Month3_15	12
27R_Month3_16	11
27R_Month3_17	12
27R_Month3_18	21
27R_Month3_19	22
27R_Month3_1	12
27R_Month3_1p	22
27R_Month3_20	22
27R_Month3_21	17
27R_Month3_22	22
27R_Month3_23	22
27R_Month3_24	21
27R_Month3_2	13
27R_Month3_2p	12
27R_Month3_3	21
27R_Month3_3p	22
27R_Month3_4	12
27R_Month3_4p	11
27R_Month3_5	5
27R_Month3_5p	11
27R_Month3_6	11
27R_Month3_6p	21
27R_Month3_7	10
27R_Month3_7p	29
27R_Month3_8	11
27R_Month3_8p	22
27R_Month3_9	5
27R_Month3_9p	22
27R_Month6_10	22
27R_Month6_11	17
27R_Month6_12	17
27R_Month6_13	22
27R_Month6_14	22
27R_Month6_15	22
27R_Month6_16	22
27R_Month6_17	21
27R_Month6_18	21
27R_Month6_19	21
27R_Month6_1	22
27R_Month6_20	21
27R_Month6_21	22
27R_Month6_22	21
27R_Month6_23	21
27R_Month6_24	22
27R_Month6_2	22
27R_Month6_3	22
27R_Month6_4	22
27R_Month6_5	22
27R_Month6_6	22
27R_Month6_7	22
27R_Month6_8	22
27R_Month6_9	22
28B_Day7_11	21
28B_Day7_12	12
28B_Day7_13	22
28B_Day7_14	22
28B_Day7_15	33
28B_Day7_16	14
28B_Day7_17	12
28B_Day7_18	12
28B_Day7_19	11
28B_Day7_1	23
28B_Day7_20	12
28B_Day7_21	21
28B_Day7_22	12
28B_Day7_23	12
28B_Day7_24	28
28B_Day7_2	17
28B_Day7_3	17
28B_Day7_4	22
28B_Day7_5	22
28B_Day7_6	22
28B_Day7_7	22
28B_Day7_9	12
28B_Month3_1	22
28LL_Day7_11	12
28LL_Day7_12	17
28LL_Day7_1	21
28LL_Day7_2	5
28LL_Day7_3	12
28LL_Day7_4	11
28LL_Day7_5	11
28LL_Day7_6	11
28LL_Day7_7	102
28LL_Day7_9	12
28LL_Month3_10	12
28LL_Month3_11	11
28LL_Month3_12	22
28LL_Month3_13	380
28LL_Month3_14	416
28LL_Month3_15	307
28LL_Month3_16	306
28LL_Month3_17	308
28LL_Month3_18	307
28LL_Month3_19	307
28LL_Month3_1	24
28LL_Month3_20	307
28LL_Month3_21	307
28LL_Month3_22	306
28LL_Month3_23	307
28LL_Month3_24	309
28LL_Month3_2	22
28LL_Month3_3	22
28LL_Month3_4	22
28LL_Month3_5	22
28LL_Month3_6	21
28LL_Month3_7	22
28LL_Month3_8	4
28LL_Month3_9	22
28L_Day3_10	6
28L_Day3_11	24
28L_Day3_12	14
28L_Day3_13	12
28L_Day3_14	31
28L_Day3_15	11
28L_Day3_16	28
28L_Day3_17	43
28L_Day3_18	17
28L_Day3_19	65
28L_Day3_1	25
28L_Day3_20	11
28L_Day3_21	16
28L_Day3_22	7
28L_Day3_23	17
28L_Day3_24	29
28L_Day3_2	17
28L_Day3_3	37
28L_Day3_4	12
28L_Day3_5	25
28L_Day3_6	22
28L_Day3_7	25
28L_Day3_8	11
28L_Day3_9	7
28L_Day7_13	28
28L_Day7_15	81
28L_Day7_16	12
28L_Day7_17	12
28L_Day7_18	12
28L_Day7_19	11
28L_Day7_20	4
28L_Day7_21	11
28L_Day7_22	45
28L_Day7_23	27
28L_Day7_24	12
28L_Month10_13	22
28L_Month10_14	11
28L_Month10_15	17
28L_Month10_16	12
28L_Month10_17	45
28L_Month10_18	12
28L_Month10_19	22
28L_Month10_1	28
28L_Month10_20	14
28L_Month10_21	17
28L_Month10_22	19
28L_Month10_23	12
28L_Month10_24	12
28L_Month10_2	12
28L_Month10_3	12
28L_Month10_4	12
28L_Month10_5	12
28L_Month10_6	12
28L_Month10_7	11
28L_Month10_8	12
28L_Month1_10	12
28L_Month1_11	12
28L_Month1_12	29
28L_Month1_13	12
28L_Month1_14	13
28L_Month1_15	6
28L_Month1_16	11
28L_Month1_17	12
28L_Month1_18	16
28L_Month1_19	17
28L_Month1_1	12
28L_Month1_20	19
28L_Month1_21	9
28L_Month1_22	12
28L_Month1_23	12
28L_Month1_24	25
28L_Month1_2	12
28L_Month1_3	12
28L_Month1_4	11
28L_Month1_5	23
28L_Month1_6	12
28L_Month1_7	12
28L_Month1_8	12
28L_Month1_9	49
28L_Month6_10	22
28L_Month6_11	25
28L_Month6_12	21
28L_Month6_13	22
28L_Month6_14	22
28L_Month6_15	22
28L_Month6_16	17
28L_Month6_17	17
28L_Month6_18	16
28L_Month6_19	16
28L_Month6_1	22
28L_Month6_20	22
28L_Month6_21	22
28L_Month6_22	17
28L_Month6_23	17
28L_Month6_24	22
28L_Month6_2	22
28L_Month6_3	22
28L_Month6_4	22
28L_Month6_5	22
28L_Month6_6	22
28L_Month6_7	21
28L_Month6_8	21
28L_Month6_9	22
28N_Day3_10	35
28N_Day3_11	12
28N_Day3_12	11
28N_Day3_13	12
28N_Day3_14	18
28N_Day3_15	12
28N_Day3_16	11
28N_Day3_17	17
28N_Day3_18	22
28N_Day3_19	12
28N_Day3_1	12
28N_Day3_20	17
28N_Day3_21	12
28N_Day3_22	12
28N_Day3_23	12
28N_Day3_24	12
28N_Day3_2	11
28N_Day3_3	12
28N_Day3_4	12
28N_Day3_5	12
28N_Day3_6	12
28N_Day3_7	31
28N_Day3_8	12
28N_Day3_9	11
28N_Day7_10	11
28N_Day7_11	11
28N_Day7_12	12
28N_Day7_13	12
28N_Day7_14	13
28N_Day7_15	11
28N_Day7_16	12
28N_Day7_17	16
28N_Day7_18	17
28N_Day7_19	17
28N_Day7_1	11
28N_Day7_20	12
28N_Day7_21	11
28N_Day7_22	12
28N_Day7_23	5
28N_Day7_24	12
28N_Day7_2	10
28N_Day7_3	11
28N_Day7_4	21
28N_Day7_5	11
28N_Day7_6	12
28N_Day7_7	11
28N_Day7_9	12
28N_Month1_10	11
28N_Month1_11	12
28N_Month1_12	20
28N_Month1_13	12
28N_Month1_14	12
28N_Month1_15	12
28N_Month1_16	12
28N_Month1_17	17
28N_Month1_18	24
28N_Month1_19	12
28N_Month1_1	11
28N_Month1_20	26
28N_Month1_21	7
28N_Month1_22	12
28N_Month1_23	35
28N_Month1_24	42
28N_Month1_2	12
28N_Month1_3	12
28N_Month1_5	11
28N_Month1_6	5
28N_Month1_7	12
28N_Month1_8	7
28N_Month1_9	12
28N_Month3_10	11
28N_Month3_11	22
28N_Month3_12	5
28N_Month3_13	21
28N_Month3_14	21
28N_Month3_15	21
28N_Month3_16	21
28N_Month3_17	21
28N_Month3_18	22
28N_Month3_19	20
28N_Month3_1	22
28N_Month3_20	22
28N_Month3_21	22
28N_Month3_22	22
28N_Month3_23	21
28N_Month3_24	22
28N_Month3_2	11
28N_Month3_3	11
28N_Month3_4	21
28N_Month3_5	5
28N_Month3_6	12
28N_Month3_7	12
28N_Month3_8	10
28N_Month3_9	16
28N_Month6_10	25
28N_Month6_11	22
28N_Month6_12	20
28N_Month6_13	11
28N_Month6_14	22
28N_Month6_15	22
28N_Month6_16	22
28N_Month6_17	11
28N_Month6_18	22
28N_Month6_19	21
28N_Month6_1	47
28N_Month6_20	22
28N_Month6_21	22
28N_Month6_22	22
28N_Month6_23	21
28N_Month6_24	22
28N_Month6_2	22
28N_Month6_3	22
28N_Month6_5	21
28N_Month6_6	21
28N_Month6_9	12
28R_Day7_13	42
28R_Day7_14	11
28R_Day7_15	4
28R_Day7_16	11
28R_Day7_17	21
28R_Day7_18	12
28R_Day7_19	12
28R_Day7_1	10
28R_Day7_20	13
28R_Day7_21	166
28R_Day7_22	12
28R_Day7_23	24
28R_Day7_24	21
28R_Day7_2	21
28R_Day7_3	12
28R_Day7_5	17
28R_Day7_6	17
28R_Day7_7	21
28R_Month3_10	21
28R_Month3_11	5
28R_Month3_12	22
28R_Month3_13	11
28R_Month3_14	22
28R_Month3_15	22
28R_Month3_16	22
28R_Month3_17	22
28R_Month3_18	22
