	observed_features
45L_Month3_13	71
45L_Month3_14	90
45L_Month3_15	71
45L_Month3_16	71
45L_Month3_17	69
45L_Month3_18	71
45L_Month3_19	71
45L_Month3_1	63
45L_Month3_20	68
45L_Month3_21	71
45L_Month3_22	71
45L_Month3_23	71
45L_Month3_24	63
45L_Month3_3	79
45L_Month3_5	69
45L_Month3_7	63
45L_Month3_8	71
45L_Month3_9	71
45N_Day7_10	63
45N_Day7_11	59
45N_Day7_12	198
45N_Day7_13	71
45N_Day7_14	69
45N_Day7_15	71
45N_Day7_16	63
45N_Day7_17	71
45N_Day7_18	71
45N_Day7_19	63
45N_Day7_1	71
45N_Day7_20	139
45N_Day7_21	63
45N_Day7_22	63
45N_Day7_23	71
45N_Day7_24	63
45N_Day7_2	71
45N_Day7_3	71
45N_Day7_4	71
45N_Day7_5	67
45N_Day7_6	71
45N_Day7_7	71
45N_Day7_8	71
45N_Day7_9	71
45N_Month3_10	71
45N_Month3_11	92
45N_Month3_12	399
45N_Month3_15	95
45N_Month3_18	71
45N_Month3_19	63
45N_Month3_1	71
45N_Month3_20	8
45N_Month3_21	71
45N_Month3_22	63
45N_Month3_23	63
45N_Month3_24	100
45N_Month3_2	310
45N_Month3_3	172
45N_Month3_4	63
45N_Month3_5	63
45N_Month3_6	63
45N_Month3_7	8
45N_Month3_8	71
45N_Month3_9	147
45R_Day7_10	59
45R_Day7_11	63
45R_Day7_12	68
45R_Day7_13	71
45R_Day7_14	71
45R_Day7_15	71
45R_Day7_16	139
45R_Day7_17	63
45R_Day7_18	71
45R_Day7_19	71
45R_Day7_1	63
45R_Day7_20	63
45R_Day7_21	63
45R_Day7_22	98
45R_Day7_23	63
45R_Day7_24	63
45R_Day7_2	62
45R_Day7_3	71
45R_Day7_4	71
45R_Day7_5	71
45R_Day7_6	71
45R_Day7_7	71
45R_Day7_8	63
45R_Day7_9	63
46L_Day7_11	63
46L_Day7_12	71
46L_Day7_13	100
46L_Day7_14	102
46L_Day7_16	63
46L_Day7_17	63
46L_Day7_19	63
46L_Day7_1	92
46L_Day7_20	92
46L_Day7_22	63
46L_Day7_23	8
46L_Day7_24	63
46L_Day7_2	92
46L_Day7_3	63
46L_Day7_5	63
46L_Day7_6	92
46L_Day7_8	75
46L_Day7_9	63
46L_Month6_10	71
46L_Month6_11	75
46L_Month6_12	81
46L_Month6_13	71
46L_Month6_14	68
46L_Month6_15	7
46L_Month6_17	68
46L_Month6_18	70
46L_Month6_19	71
46L_Month6_1	67
46L_Month6_20	67
46L_Month6_21	71
46L_Month6_22	70
46L_Month6_23	71
46L_Month6_24	71
46L_Month6_2	8
46L_Month6_3	82
46L_Month6_4	71
46L_Month6_5	71
46L_Month6_7	81
46L_Month6_8	84
46L_Month6_9	80
46N_Day3_10	71
46N_Day3_11	81
46N_Day3_12	81
46N_Day3_13	71
46N_Day3_14	79
46N_Day3_15	70
46N_Day3_16	63
46N_Day3_17	63
46N_Day3_18	71
46N_Day3_19	81
46N_Day3_1	69
46N_Day3_20	71
46N_Day3_21	63
46N_Day3_22	78
46N_Day3_23	8
46N_Day3_24	71
46N_Day3_2	71
46N_Day3_3	122
46N_Day3_4	88
46N_Day3_5	70
46N_Day3_6	71
46N_Day3_7	71
46N_Day3_8	71
46N_Day3_9	71
46N_Day7_10	63
46N_Day7_11	63
46N_Day7_12	63
46N_Day7_13	70
46N_Day7_14	71
46N_Day7_15	71
46N_Day7_16	63
46N_Day7_17	63
46N_Day7_18	130
46N_Day7_19	70
46N_Day7_1	63
46N_Day7_20	71
46N_Day7_21	63
46N_Day7_22	63
46N_Day7_23	131
46N_Day7_24	126
46N_Day7_2	71
46N_Day7_3	67
46N_Day7_4	71
46N_Day7_5	67
46N_Day7_6	131
46N_Day7_7	63
46N_Day7_8	63
46N_Day7_9	63
46N_Month10_11	108
46N_Month10_12	81
46N_Month10_13	81
46N_Month10_14	131
46N_Month10_15	81
46N_Month10_16	90
46N_Month10_17	78
46N_Month10_18	72
46N_Month10_19	70
46N_Month10_1	71
46N_Month10_20	78
46N_Month10_21	68
46N_Month10_22	66
46N_Month10_23	166
46N_Month10_24	81
46N_Month10_2	156
46N_Month10_3	169
46N_Month10_4	73
46N_Month10_5	72
46N_Month10_6	81
46N_Month10_7	68
46N_Month10_8	66
46N_Month10_9	81
46N_Month1_10	10
46N_Month1_11	81
46N_Month1_12	206
46N_Month1_13	76
46N_Month1_14	67
46N_Month1_15	71
46N_Month1_16	68
46N_Month1_18	104
46N_Month1_19	8
46N_Month1_1	104
46N_Month1_20	132
46N_Month1_21	81
46N_Month1_22	76
46N_Month1_23	71
46N_Month1_24	206
46N_Month1_2	68
46N_Month1_3	127
46N_Month1_4	169
46N_Month1_5	81
46N_Month1_6	68
46N_Month1_7	99
46N_Month1_8	206
46N_Month1_9	71
46N_Month6_10	71
46N_Month6_11	63
46N_Month6_12	120
46N_Month6_13	63
46N_Month6_14	7
46N_Month6_15	8
46N_Month6_16	71
46N_Month6_17	63
46N_Month6_18	71
46N_Month6_19	65
46N_Month6_1	71
46N_Month6_20	72
46N_Month6_21	69
46N_Month6_22	63
46N_Month6_23	61
46N_Month6_24	71
46N_Month6_2	71
46N_Month6_3	71
46N_Month6_4	67
46N_Month6_5	71
46N_Month6_6	67
46N_Month6_7	67
46N_Month6_8	71
46N_Month6_9	63
46R_Day7_10	8
46R_Day7_11	63
46R_Day7_12	63
46R_Day7_13	63
46R_Day7_14	63
46R_Day7_15	16
46R_Day7_16	81
46R_Day7_17	92
46R_Day7_18	63
46R_Day7_19	100
46R_Day7_1	92
46R_Day7_20	139
46R_Day7_21	111
46R_Day7_22	102
46R_Day7_23	63
46R_Day7_24	63
46R_Day7_2	102
46R_Day7_4	63
46R_Day7_7	92
46R_Day7_8	63
46R_Day7_9	61
46R_Month1_10	8
46R_Month1_11	8
46R_Month1_12	1018
46R_Month1_14	820
46R_Month1_15	955
46R_Month1_16	1056
46R_Month1_17	1169
46R_Month1_18	853
46R_Month1_19	218
46R_Month1_1	8
46R_Month1_20	59
46R_Month1_21	7
46R_Month1_22	8
46R_Month1_23	1095
46R_Month1_24	66
46R_Month1_2	7
46R_Month1_3	1018
46R_Month1_4	854
46R_Month1_5	1020
46R_Month1_6	70
46R_Month1_7	64
46R_Month1_8	167
46R_Month1_9	8
46R_Month6_10	68
46R_Month6_11	69
46R_Month6_12	123
46R_Month6_13	52
46R_Month6_14	97
46R_Month6_15	60
46R_Month6_16	69
46R_Month6_17	150
46R_Month6_18	70
46R_Month6_19	8
46R_Month6_1	71
46R_Month6_20	71
46R_Month6_21	67
46R_Month6_22	8
46R_Month6_23	65
46R_Month6_24	64
46R_Month6_2	70
46R_Month6_3	71
46R_Month6_4	71
46R_Month6_5	8
46R_Month6_6	71
46R_Month6_7	71
46R_Month6_8	100
46R_Month6_9	71
AZ51_reference	70
